"Service URN","Service Name","Known as","Service Type","Service Sub-Type","Provision For","Service Address Line 1","Service Address Line 2","Service Address Line 3","Service Town/City","Service Postcode","Service Address UPRN","Local Authority","Other Service Address(es)","Domiciliary care area","Primary telephone number","Primary email address","Website","Main Operating Language of Service","Flying Start Provider","Registered to deliver childcare offer","Delivers early years part time education","Maximum No. of Places","Service Ratings","Provides care during","Term Time Sunday Opening Time","Term Time Sunday Closing Time","Term Time Sunday Overnight Care Provided","Term Time Monday Opening Time","Term Time Monday Closing Time","Term Time Monday Overnight Care Provided","Term Time Tuesday Opening Time","Term Time Tuesday Closing Time","Term Time Tuesday Overnight Care Provided","Term Time Wednesday Opening Time","Term Time Wednesday Closing Time","Term Time Wednesday Overnight Care Provided","Term Time Thursday Opening Time","Term Time Thursday Closing Time","Term Time Thursday Overnight Care Provided","Term Time Friday Opening Time","Term Time Friday Closing Time","Term Time Friday Overnight Care Provided","Term Time Saturday Opening Time","Term Time Saturday Closing Time","Term Time Saturday Overnight Care Provided","Holidays Sunday Opening Time","Holidays Sunday Closing Time","Holidays Sunday Overnight Care Provided","Holidays Monday Opening Time","Holidays Monday Closing Time","Holidays Monday Overnight Care Provided","Holidays Tuesday Opening Time","Holidays Tuesday Closing Time","Holidays Tuesday Overnight Care Provided","Holidays Wednesday Opening Time","Holidays Wednesday Closing Time","Holidays Wednesday Overnight Care Provided","Holidays Thursday Opening Time","Holidays Thursday Closing Time","Holidays Thursday Overnight Care Provided","Holidays Friday Opening Time","Holidays Friday Closing Time","Holidays Friday Overnight Care Provided","Holidays Saturday Opening Time","Holidays Saturday Closing Time","Holidays Saturday Overnight Care Provided","Responsible Individual Names","Registered Person Names","Standard Conditions","Imposed Conditions","Provider URN","Provider Name","Provider Address Line 1","Provider Address Line 2","Provider Address Line 3","Provider Town/City","Provider Postcode","Provider Address UPRN","Provider Type","Company Number","Charity Number","Provider Website","Provider Registration Date","Provider Conditions","Provider No. of Approved Services","Last Updated On"
"SIN-00015319-GVYF","Cylch Meithrin Llanfarian","","Childrens Day Care","Full Day Care","","Llanfarian Primary School","Llanfarian","","Aberystwyth","SY23 4DA","49041085","Ceredigion","","","","cylchmeithrinllanfarian@outlook.com","","Welsh","Yes","Yes","Yes","19","","Term Time only","","","","08:30","15:15","No","08:30","15:15","No","08:30","17:30","No","08:30","15:15","No","08:30","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Jade-Leigh Evans,Amy James","","The maximum number of children to be cared for at any time must not exceed 19.; The responsible individual for this service is Jade-Leigh Evans; The responsible individual for this service is Amy Rebecca James","","SPROV-00006392-RRVR","Cylch Meithrin Llanfarian","Llanfarian Primary School","Llanfarian","","Aberystwyth","SY23 4DA","49041085","Charitable Incorporated Organisation","","1210941","","02/01/2025","","1","30/06/2026 12:44"
"SIN-00011897-WPWD","Cylch Meithrin Llanfyllin","","Childrens Day Care","Full Day Care","","Ysgol Llanfyllin","","","Llanfyllin","SY22 5BJ","10011771030","Powys","","","07903016549","cmllanfyllin@gmail.com","","Welsh","No","Yes","Yes","21","","Term Time only","","","","","","","09:00","15:00","No","","","","12:30","15:00","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Margaret Williams","","The maximum number of children to be looked after at any time must not exceed 21.; The responsible individual for this service is Margaret Ann Williams","","SPROV-00005024-KFYS","Cylch Meithrin Llanfyllin","Cylch Meithrin Llanfyllin ","Ysgol Llanfyllin ","","Llanfyllin ","SY22 5BJ","","Charitable Incorporated Organisation","","1187943","","30/06/2020","","1","13/03/2026 13:40"
"SIN-00012468-NTWY","Cylch Meithrin Llangadog","","Childrens Day Care","Full Day Care","","Llangadog Cp School","","","Llangadog","SA19 9HP","10009547033","Carmarthenshire","","","07801271667","PwyllgorCylchMeithrinLlangadog@outlook.com","","Welsh","No","Yes","Yes","19","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:00","15:30","No","08:00","15:30","No","08:00","15:30","No","08:00","15:30","No","08:00","15:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Charlotte Price","","The responsible individual for this service is Charlotte Price; The maximum number of children to be looked after at any time must not exceed 19.","","SPROV-00005366-SRRW","Cylch Meithrin Llangadog","Llangadog Cp School","","","Llangadog","SA19 9HP","10009547033","Charitable Trust","","1078875","","10/06/2021","","1","22/10/2025 14:32"
"SIN-00011044-PFLH","Cylch Meithrin Llangeitho","","Childrens Day Care","Full Day Care","","Ysgol Rhos Helyg Campws Llangeitho","Llangeitho","","Tregaron","SY25 6TR","49078075","Ceredigion","","","","cylchmeithrinllangeitho@gmail.com","","Welsh","Yes","Yes","Yes","19","Care and Development: Good; Environment: Good; Leadership and Management: Good; Well-being: Good","Term Time only","","","","","","","09:00","15:15","No","09:00","15:15","No","09:00","15:15","No","09:00","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Graham Parker","","The maximum number of children to be cared for at any time must not exceed 19.; The responsible individual for this service is Graham Francis Parker","","SPROV-00004735-WWJK","Cylch Meithrin Llangeitho","Ysgol Rhos Helyg Campws Llangeitho","Llangeitho","","Tregaron","SY25 6TR","49078075","Charitable Incorporated Organisation","","1180706","","04/06/2019","","1","27/06/2026 04:34"
"SIN-00012180-GTLH","Cylch Meithrin Llangelynnin","","Childrens Day Care","Sessional Day Care","","Cylch Meithrin Llangelynnin","Henryd Community Hall","Ysgol Llangelynnin","Henryd","LL32 8YB","10091010575","Conwy","","","01492596195","cmllangelynnin@outlook.com","","Welsh","Yes","Yes","Yes","15","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Dawn Heginbotham","","The maximum number of children to be cared for at any time must not exceed 15.; The responsible individual for this service is Dawn Amanda Heginbotham","","SPROV-00005211-WKVV","Cylch Meithrin Llangelynnin","Cylch Meithrin Llangelynnin ","Henryd Community Hall ","Ysgol Llangelynnin ","Henryd","LL32 8YB","10091010575","Charitable Incorporated Organisation","","1190472.","","03/12/2020","","1","13/03/2026 13:46"
"SIN-00011826-FKFL","Cylch Meithrin Llangennech","","Childrens Day Care","Full Day Care","","Cylch Meithrin Llangennech","Park Pavillion","Station Road","Llangennech","SA14 8UB","10092965596","Carmarthenshire","","","07534638213","cylchmeithrinllangennech@ymail.com","","Welsh","No","Yes","No","19","Well-being: Good; Care and Development: Excellent; Environment: Good; Leadership and Management: Excellent","Term Time only","","","","08:30","14:30","No","08:30","14:30","No","08:30","14:30","No","08:30","14:30","No","08:30","14:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Llinos Haf","","The responsible individual for this service is Llinos Haf; The maximum number of children to be cared for at any time must not exceed 19 .","","SPROV-00004974-XNTY","Cylch Meithrin Llangennech","Cylch Meithrin Llangennech ","Park Pavillion ","Station Road ","Llangennech ","SA14 8UB","10092965596","Charitable Incorporated Organisation","","1188305","","22/02/2021","","1","09/09/2025 16:04"
"SIN-00015309-GVCR","Cylch Meithrin Llangennech - Y Caban","","Childrens Day Care","Full Day Care","","Llangennech Infants School","Llangennech","","Llanelli","SA14 8YB","100101031370","Carmarthenshire","","","07949208949","cmllangennech.ycaban@gmail.com","","","No","Yes","No","30","","Term Time only","","","","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Llinos Haf","","The maximum number of children to be cared for at any time must not exceed 30.; The responsible individual for this service is Llinos Haf","","SPROV-00004974-XNTY","Cylch Meithrin Llangennech","Cylch Meithrin Llangennech ","Park Pavillion ","Station Road ","Llangennech ","SA14 8UB","10092965596","Charitable Incorporated Organisation","","1188305","","22/02/2021","","2","06/10/2025 15:12"
"SIN-00012454-LVGC","Cylch Meithrin Llangollen","","Childrens Day Care","Full Day Care","","Penllyn Chapel","Brook Street","","Llangollen","LL20 8LS","200004314401","Denbighshire","","","","cylchmeithrinllangollen@outlook.com","","Welsh","No","Yes","Yes","30","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:30","14:30","No","08:30","14:30","No","08:30","14:30","No","08:30","14:30","No","08:30","14:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Rebecca Tobin","","The responsible individual for this service is Rebecca Claire Tobin; The maximum number of children to be looked after at any time must not exceed 30.","","SPROV-00005361-RSCG","CYLCH MEITHRIN LLANGOLLEN","Penllyn Chapel","Brook Street","","Llangollen","LL20 8LS","200004314401","Charitable Incorporated Organisation","","1193960","","19/04/2021","","1","30/03/2026 11:50"
"SIN-00014845-YNXW","Cylch Meithrin Llangollen @ Ysgol Gwernant","","Childrens Day Care","Full Day Care","","Ysgol Gymraeg Y Gwernant","","","Llangollen","LL20 8AR","10012914241","Denbighshire","","","07956883447","cylchmeithrinllangollen@outlook.com","","","No","Yes","No","19","","Term Time only","","","","07:45","14:45","No","07:45","14:45","No","07:45","14:45","No","07:45","14:45","No","07:45","14:45","No","","","","","","","","","","","","","","","","","","","","","","","","","Rebecca Tobin","","The maximum number of children to be cared for at any time must not exceed 19.; The responsible individual for this service is Rebecca Claire Tobin","","SPROV-00005361-RSCG","CYLCH MEITHRIN LLANGOLLEN","Penllyn Chapel","Brook Street","","Llangollen","LL20 8LS","200004314401","Charitable Incorporated Organisation","","1193960","","19/04/2021","","2","01/05/2025 17:42"
"SIN-00004866","Cylch Meithrin Llangwyryfon","","Childrens Day Care","Full Day Care","","Neuadd Santes Ursula","","Llangwyryfon","Aberystwyth","SY23 4HA","49076501","Ceredigion","","","","","","Welsh","Yes","Yes","No","15","","Term Time and Holidays","","","","","","","08:00","15:45","No","08:00","15:45","No","08:00","15:45","No","08:00","15:45","No","","","","","","","","","","","","","","","","08:00","15:45","No","","","","","","","","Nerys Parry","The maximum number of children to be cared for at any time must not exceed 15.","","","","","","","","","","","","","","","","","31/07/2026 04:34"
"SIN-00011328-PFTQ","Cylch Meithrin Llangybi","","Childrens Day Care","Sessional Day Care","","Llangybi Primary School","Llangybi","","Pwllheli","LL53 6DQ","10070337786","Gwynedd","","","07351405839","cylchmeithrinllangybi@gmail.com","","Welsh","No","Yes","Yes","16","","Term Time only","","","","09:00","13:00","No","09:00","13:00","No","09:00","13:00","No","09:00","13:00","No","09:00","13:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Meinir Jones,Eirian Owen","","The maximum number of children to be cared for at any time must not exceed 16.; The responsible individual for this service is Eirian Haf Owen; The responsible individual for this service is Meinir Angharad Jones","","SPROV-00004821-DRRK","Cylch Meithrin Llangybi","Llangybi Primary School","Llangybi","","Pwllheli","LL53 6DQ","10070337786","Charitable Incorporated Organisation","","1184063","","08/11/2019","","1","24/06/2026 22:10"
"SIN-00013075-YMBH","Cylch Meithrin Llangynnwr","","Childrens Day Care","Full Day Care","","Llangunnor Cp School","Penymorfa Lane","","Carmarthen","SA31 2NN","200002958027","Carmarthenshire","","","01267237841","post@cylchmeithrinllangynnwr.onmicrosoft.com","www.cylchmeithrinllangynnwr.com","Welsh","Yes","Yes","No","18","Well-being: Good; Care and Development: Good; Environment: Adequate; Leadership and Management: Adequate","Term Time only","","","","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Gaynor Bryson","","The maximum number of children to be cared for at any time must not exceed 18.; The responsible individual for this service is Gaynor Marion Bryson","","SPROV-00005617-MMDM","Cylch Meithrin Llangynnwr","Llangunnor Cp School","Penymorfa Lane","","Carmarthen","SA31 2NN","200002958027","Charitable Incorporated Organisation","","1198334","https://wootzoo.com/cylchmeithrinllangynnwr","13/04/2022","","1","02/07/2026 08:58"
"SIN-00014042-XPLR","Cylch Meithrin Llanilar","","Childrens Day Care","Full Day Care","","Llanilar Cp School","Llanilar","","Aberystwyth","SY23 4PA","49043212","Ceredigion","","","07772090144","cmllanilar@outlook.com","","Welsh","Yes","Yes","Yes","19","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:35","15:35","No","08:35","15:35","No","08:35","15:35","No","08:35","15:35","No","08:35","11:35","No","","","","","","","","","","","","","","","","","","","","","","","","","Catrin Evans","","The maximum number of children to be cared for at any time must not exceed 19.; The responsible individual for this service is Catrin Ffion Evans","","SPROV-00005942-NMTR","Cylch Meithrin Llanilar","Cylch Meithrin Llanilar ","Ysgol Llanilar ","Llanilar ","Aberystwyth ","Sy234pa","","Charitable Incorporated Organisation","","1203069","","03/07/2023","","1","09/12/2025 12:33"
"SIN-00012889-KBBX","Cylch Meithrin Llanilltud Fawr","","Childrens Day Care","Full Day Care","","Ysgol Dewi Sant","Ham Lane East","","Llantwit Major","CF61 1TQ","64104942","Vale of Glamorgan","","","01446 792233","cylchmeithrinllanilltudfawr@gmail.com","","","Yes","Yes","No","30","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","16:00","No","","","","","","","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","16:00","No","","","","Laura Clark","","The responsible individual for this service is Laura Mary Clark; The maximum number of children to be looked after at any time must not exceed 30.","","SPROV-00005534-JSLT","Cylch Meithrin Llanilltud Fawr","Ysgol Dewi Sant","Ham Lane East","","Llantwit Major","CF61 1TQ","64104942","Charitable Incorporated Organisation","","1196529","","10/12/2021","","1","04/03/2026 12:06"
"SIN-00012619-TLNN","Cylch Meithrin Llanllwni","","Childrens Day Care","Full Day Care","","Llanllwni School","Llanllwni","","Pencader","SA39 9DX","10009551441","Carmarthenshire","","","07506351065","cylchmeithrinllanllwni@yahoo.co.uk","","Welsh","Yes","Yes","Yes","9","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:45","15:00","No","08:45","12:15","No","08:45","15:00","No","08:45","12:15","No","08:45","12:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Nans Davies","","The maximum number of children to be cared for at any time must not exceed 9.; The responsible individual for this service is Nans Davies","","SPROV-00005419-MPGD","Cylch Meithrin Llanllwni","Ysgol Gynradd Llanllwni ","Llanllwni ","","Pencader ","SA39 9DX","10009551441","Charitable Incorporated Organisation","","1194180","","14/09/2021","","1","14/07/2025 15:16"
"SIN-00014999-RBLG","Cylch Meithrin Llanllyfni","","Childrens Day Care","Full Day Care","","Ysgol Llanllyfni","Llanllyfni","","Caernarfon","LL54 6SH","10070339135","Gwynedd","","","07816406162","cylchllanllyfni@meithrin.cymru","","Welsh","Yes","Yes","Yes","30","","Term Time only","","","","08:45","15:15","No","08:45","17:30","No","08:45","15:15","No","08:45","17:30","No","08:45","14:45","No","","","","","","","","","","","","","","","","","","","","","","","","","Leanne Marsh","","The maximum number of children to be cared for at any time must not exceed 30.; The responsible individual for this service is Leanne Louise Marsh","","SPROV-00001804-GJFB","Meithrinfeydd Cymru Cyfyngedig","Y Canolfan Integredig","Boulevard Saint Brieuc","","Aberystwyth","SY23 1PD","49069552","Limited Company","04207161","","","18/09/2013","","1","08/06/2026 09:30"
"SIN-00014814-NDQY","Cylch Meithrin Llannon","","Childrens Day Care","Sessional Day Care","","Llanon Cp School","Heol Y Nant Llannon","","Llanelli","SA14 6AE","10004855990","Carmarthenshire","","","07961067723","cylchmeithrinllannon4@gmail.com","","Welsh","Yes","Yes","No","8","Well-being: Good; Care and Development: Adequate; Environment: Good; Leadership and Management: Good","Term Time only","","","","09:00","11:30","No","","","","09:00","11:30","No","09:00","11:30","No","09:00","11:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Kathryn Jones","","The maximum number of children to be looked after at any time must not exceed 8.; The responsible individual for this service is Kathryn Emma Jones","","SPROV-00006213-DKFC","Cylch Meithrin Llannon","Llanon Cp School","Heol Y Nant Llannon","","Llanelli","SA14 6AE","10004855990","Charitable Incorporated Organisation","","1207577","","15/07/2024","","1","02/07/2026 20:44"
"SIN-00013746-SPGX","Cylch Meithrin Llanrhaeadr","","Childrens Day Care","Full Day Care","","Ysgol Bro Cinmeirch","Llanrhaeadr","","Denbigh","LL16 4NL","10003931272","Denbighshire","","","07726929756","cylchllanrhaeadr@gmail.com","","","Yes","Yes","Yes","15","","Term Time only","","","","09:00","15:15","No","09:00","15:15","No","09:00","15:15","No","09:00","15:15","No","09:00","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Natalie Francis","","The maximum number of children to be cared for at any time must not exceed 15.; The responsible individual for this service is Natalie Georgina Iris Francis","","SPROV-00005842-WPJJ","Cylch Meithrin Llanrhaeadr","Ysgol Bro Cinmeirch","Llanrhaeadr","","Denbigh","LL16 4NL","10003931272","Charitable Incorporated Organisation","","1194570","","03/03/2023","","1","01/04/2026 11:38"
"SIN-00011301-YTVW","Cylch Meithrin Llanrhaeadr Ym Mochnant","","Childrens Day Care","Full Day Care","","Ysgol Gynradd Llanrhaeadr Ym Mochnant","Llanrhaeadr Ym Mochnant","","Oswestry","SY10 0LG","10011808468","Powys","","","07377842939","cylch.llanrhaeadr@yahoo.co.uk","cylch.llanrhaeadrym.org","Welsh","No","Yes","Yes","16","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","08:45","15:15","No","08:45","15:15","No","","","","08:45","11:15","No","08:45","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Lowri Jones","","The maximum number of children to be cared for at any time must not exceed 16.; The responsible individual for this service is Lowri Ann Jones","","SPROV-00004811-WJQD","Cylch Meithrin Llanrhaeadr Ym Mochnant","Ysgol Gynradd Llanrhaeadr Ym Mochnant","","Llanrhaeadr Ym Mochnant","Oswestry","SY10 0LG","10011808468","Charitable Incorporated Organisation","","1181799","","11/09/2019","","1","01/05/2025 18:56"
"SIN-00012808-HFFR","Cylch Meithrin Llanrug","","Childrens Day Care","Full Day Care","","Cylch Meithrin Llanrug","Ysgol Gynradd Llanrug, Llanrug","","Caernarfon","LL55 4AL","10070368307","Gwynedd","","","01286674020","cylchmeithrinllanrug@yahoo.com","","Welsh","No","Yes","Yes","40","","Term Time only","","","","09:15","15:10","No","09:15","15:10","No","09:15","15:10","No","09:15","15:10","No","09:15","15:10","No","","","","","","","","","","","","","","","","","","","","","","","","","Sara Hywel","","The maximum number of children to be looked after at any time must not exceed 40.; The responsible individual for this service is Sara Mai Hywel","","SPROV-00005496-LBFC","Cylch Meithrin Llanrug","Ysgol Gynradd Llanrug","Llanrug","","Caernarfon","LL55 4AL","10070368307","Charitable Incorporated Organisation","","1189596","","13/01/2022","","1","01/05/2025 17:33"
"SIN-00010836-YQCY","Cylch Meithrin Llansannan","","Childrens Day Care","Full Day Care","","Canolfan Bro Aled","Llansannan","","Dinbych","LL16 5HN","10024342499","Conwy","","","07895508989","cylchmeithrinllansannan@yahoo.co.uk","","Welsh","No","Yes","Yes","19","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","09:00","15:00","No","12:30","15:00","No","09:00","15:00","No","12:30","15:00","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Kate Wright","","The responsible individual for this service is Kate Alison Wright; The maximum number of children to be cared for at any time must not exceed 19.","","SPROV-00004678-PCXV","Cylch Meithrin Llansannan","Canolfan Bro Aled","Llansannan","","Dinbych","LL16 5HN","10024342499","Charitable Incorporated Organisation","","1180309","","11/03/2019","","1","01/05/2025 18:05"
"SIN-00007212","Cylch Meithrin Llansawel","","Childrens Day Care","Full Day Care","","Neuadd Llansawel Hall","Llansawel","","Carmarthen","SA19 7JH","10024325463","Carmarthenshire","","","07590273086","meithrinllansawel@gmail.com","","Welsh","No","Yes","No","17","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Adequate","Term Time and Holidays","","","","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","","","","","","","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","","","","Annie Morgans","","The responsible individual for this service is Annie Elizabeth Morgans; The maximum number of children to be cared for at any time must not exceed 17.","","SPROV-00003984-HTJS","The Committee of Cylch Meithrin Llansawel","Neuadd Llansawel Hall","Llansawel","","Carmarthen","SA19 7JH","10024325463","Other Unincorporated Body","","","","08/02/2016","","1","01/05/2025 18:08"
"SIN-00011383-JCVP","Cylch Meithrin Llechryd","","Childrens Day Care","Sessional Day Care","","Ysgol Gynradd Llechryd","Llechryd","Aberteifi","Cardigan","SA43 2NL","49078089","Ceredigion","","","01239682474","cylchmeithrinllechryd@gmail.com","","Welsh","Yes","No","Yes","14","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","09:00","12:00","No","09:00","12:00","No","09:00","12:00","No","09:00","12:00","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","Claire Jones","","The maximum number of children to be cared for at any time must not exceed 14.; The responsible individual for this service is Claire Louise Jones","","SPROV-00004884-TRGS","Cylch Meithrin Llechryd","Ysgol Gymunedol Llechryd","Llechryd","","Cardigan","SA43 2NL","49078089","Charitable Incorporated Organisation","","1178512","","16/01/2020","","1","18/02/2026 09:12"
"SIN-00004831","Cylch Meithrin Llechyfedach","","Childrens Day Care","Sessional Day Care","","The Portacabin","Singleton Road","Upper Tumble","Llanelli","SA14 6DS","10090700983","Carmarthenshire","","","01269 841018","cylchmeithrenllechyfedach@gmail.com","","Welsh","Yes","Yes","No","21","Well-being: Good; Care and Development: Adequate; Environment: Adequate; Leadership and Management: Adequate","Term Time only","","","","09:00","13:00","No","09:00","13:00","No","09:00","13:00","No","09:00","13:00","No","09:00","13:00","No","","","","","","","","","","","","","","","","","","","","","","","","","","Diane Campbell, Helen Scourfield","The maximum number of children to be cared for at any time must not exceed 21.","","","","","","","","","","","","","","","","","08/06/2026 16:00"
"SIN-00015345-LNNC","Cylch Meithrin Llyn y Forwyn","","Childrens Day Care","Full Day Care","","Ysgol Gynradd Gymraeg Llyn Y Forwyn","Maerdy Industrial Estate","Maerdy Road","Ferndale","CF43 4AB","10095931345","Rhondda Cynon Taf","","","","cmllynyforwyn@gmail.com","","Welsh","No","Yes","No","30","","Term Time only","","","","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Rhian Thomas","","The maximum number of children to be cared for at any time must not exceed 30.; The responsible individual for this service is Rhian Angharad Thomas","","SPROV-00006401-KTGB","Cylch Meithrin Llyn y Forwyn","Ysgol Gymraeg Llyn Y Forwyn","","","Ferndale","CF43 4AB","","Charitable Incorporated Organisation","","1211014","","14/02/2025","","1","23/02/2026 15:06"
"SIN-00011800-DVRT","Cylch Meithrin Machynlleth","","Childrens Day Care","Full Day Care","","Yr Asgell","Ysgol Bro Hyddgen","Campws Uwchradd","Machynlleth","SY20 8DR","10090726296","Powys","","","07935512245","","https://sites.google.com/hwbcymru.net/cylch-meithrin-machynlleth/cartref-home","Welsh","Yes","Yes","Yes","24","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:45","15:45","No","08:45","15:45","No","08:45","15:45","No","08:45","15:45","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Tomi Rowlands","","The maximum number of children to be looked after at any time must not exceed 24.; The responsible individual for this service is Tomi Glyn Rowlands","","SPROV-00004937-NTXD","Cylch Meithrin Machynlleth","Yr Asgell ","Campws Uwchradd ","Ysgol Bro Hyddgen ","Machynlleth ","SY20 8DR","10090726296","Charitable Incorporated Organisation","","1187512","","30/04/2020","","1","19/11/2025 09:48"
"SIN-00014090-HBYW","Cylch Meithrin Maenclochog","","Childrens Day Care","Sessional Day Care","","Neuadd Gymunedol","","Maenclochog","Clynderwen","SA66 7LA","10009877933","Pembrokeshire","","","07950363845","","","Welsh","No","Yes","Yes","15","Environment: Good; Well-being: Good; Care and Development: Adequate; Leadership and Management: Poor","Term Time only","","","","08:30","12:45","No","08:30","12:45","No","09:00","12:45","No","08:30","12:45","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","Diane Mabe","","The maximum number of children to be cared for at any time must not exceed 15.; The responsible individual for this service is Diane Lesley Mabe","","SPROV-00005962-TCNV","Cylch Meithrin Maenclochog","Neuadd Gymunedol Maenclochog ","Maenclochog ","","Clunderwen ","SA66 7LA","","Charitable Trust","","1055961","meithrin.cymru","09/08/2023","","1","16/07/2026 13:38"
"SIN-00012572-QBDD","Cylch Meithrin Maes y Morfa","","Childrens Day Care","Full Day Care","","The Caretakers Lodge","76 Stacey Road","","Cardiff","CF24 1DW","100100069938","Cardiff","","","07579016466","cylchmeithrinmaesymorfa@hotmail.com","","Welsh","Yes","No","No","17","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Adequate","Term Time and Holidays","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","Lisamarie Bracey","","The responsible individual for this service is Lisamarie Bracey; The maximum number of children to be cared for at any time must not exceed 17.","","SPROV-00005401-LTPV","Cylch Meithrin Maes y Morfa","76 Stacey Road","","","Cardiff","CF24 1DW","100100069938","Charitable Incorporated Organisation","","1193089","","22/07/2021","","1","12/06/2025 13:40"
"SIN-00016368-QGJS","Cylch Meithrin Maesincla","","Childrens Day Care","Full Day Care","","Maesincla Primary School","","","Caernarfon","LL55 1DF","10070340522","Gwynedd","","","01286 662442","cylchmaesinclanicola.jones@yahoo.com","","Welsh","Yes","Yes","No","26","","Term Time only","","","","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Manon Gwynedd","","The maximum number of children to be cared for at any time must not exceed 26.; The responsible individual for this service is Manon Gwynedd","","SPROV-00006806-BDSX","Cylch Meithrin Maesincla","Maesincla Primary School","","","Caernarfon","LL55 1DF","10070340522","Charitable Incorporated Organisation","","1217119","","14/05/2026","","1","20/05/2026 14:56"
"SIN-00011813-DNTS","Cylch Meithrin Meini Bach (Bon-y-Maen)","","Childrens Day Care","Full Day Care","","Ysgol Gymraeg Y Cwm","Jersey Road Bonymaen","","Abertawe","SA1 7DL","100101044772","Swansea","","","07395136474","cmmeinibach@gmail.com","","Welsh","Yes","Yes","No","16","Well-being: Good; Care and Development: Adequate; Environment: Adequate; Leadership and Management: Adequate","Term Time only","","","","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Sarah Bowkett,Mari Lanchbury","","The maximum number of children to be cared for at any time must not exceed 16.; The responsible individual for this service is Sarah Olwen Bowkett; The responsible individual for this service is Mari Hannah Lanchbury","","SPROV-00004943-NWBR","Ti a Fi a Cylch Meithrin Meini Bach","Ysgol Gymraeg Y Cwm","Jersey Road Bonymaen","","Abertawe","SA1 7DL","100101044772","Charitable Incorporated Organisation","","1186230","","16/11/2020","","1","12/11/2025 12:24"
