Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
Danybryn,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Danybryn Home,Heol Isaf Radyr,Cardiff,CF15 8AJ,Cardiff,31,02920842237,danybryn.manager@shaw.co.uk,https://www.shaw.co.uk/services/1-nursing/154-danybryn?ic=1,Shaw healthcare (Cambria) Limited,18
Debs Out of School Clubs - Sully,Childrens Day Care,Out of School Care,,The Pavillion,Burnham Avenue,Penarth,CF64 5SS,Vale of Glamorgan,34,07712591728,debsoutofschoolclubs@sky.com,www.debsoutofschoolclubs.co.uk,,
Debs Out of School Clubs Early Birds,Childrens Day Care,Out of School Care,,St. Andrew`s Church in Wales Primary School,St Andrew`s Road,Dinas Powys,CF64 4HB,Vale of Glamorgan,32,07712 591728,debsoutofschoolclubs@sky.com,www.debsoutofschoolclubs.co.uk,,
Dechrau Disglair,Childrens Day Care,Full Day Care,,Heol Bethel,Lower Cwmtwrch,Swansea,SA9 2PT,Powys,90,01639846060,office@dyffrynyglowyr.powys.sch.uk,n/a,Powys County Council Child Care and Play Services,15
Dechrau Disglair Tirdeunaw,Childrens Day Care,Sessional Day Care,,Ygg Tirdeunaw,150 Heol Gwyrosydd,Swansea,SA5 7BX,Swansea,28,01792 700468,catherine.goulden@swansea.gov.uk,,City and County of Swansea Child Care and Play Services,4
Dechrau'n Deg Parc y Felin Flying Start,Childrens Day Care,Sessional Day Care,,Flying Start Dechrau'n Deg,Flying Start Parc Y Felin Integrated Childrens Centre,Caerphilly,CF83 3AH,Caerphilly,20,07546686662,PYFflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,1
Dewin Disglair Childcare,Childrens Day Care,Sessional Day Care,,Ringland Community Centre,Flying Start Unit,Newport,NP19 9PS,Newport,24,07790941700,rhiannon.lewis2@newport.gov.uk,,Newport City Council Child Care and Play Service,12
Dewis,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Wrexham,5,01978720020,manager.dewis@keys-group.co.uk,,Keys Young People Limited,1
Dol Y Felin,Care Home Service,Adults Without Nursing,Personal care for adults,Dolyfelin Homes,Pentre Road St. Clears,Carmarthen,SA33 4LR,Carmarthenshire,33,01994 230039,jtgregory@carmarthenshire.gov.uk,,Carmarthenshire County Council Adults and Children's Services,5
Dolafon Ducklings,Childrens Day Care,Sessional Day Care,,Ysgol Dolyfan,Dolecoed Road,Llanwrtyd Wells,LD5 4RA,Powys,16,01591610326,,http://www.dolafon.powys.sch.uk/,Powys County Council Child Care and Play Services,12
Dolwen,Care Home Service,Adults Without Nursing,Personal care for adults,Dolwen,Ruthin Road,Denbigh,LL16 3ER,Denbighshire,32,01745812752,Dolwen.home@denbighshire.gov.uk,https://www.denbighshire.gov.uk/en/home.aspx,Denbighshire County Council Adults and Children's Services,2
Dragon Camps,Childrens Day Care,Out of School Care,,Rydal Penrhos,Pwllycrochan Avenue,Colwyn Bay,LL29 7BT,Conwy,90,01492 536096,enquiries@dragoncamps.com,dragoncamps.kidsclubhq.co.uk,Kids Planet Meithrinfa Dyddiol LTD,2
Dragon Camps Holiday Club Denbigh,Childrens Day Care,Out of School Care,,Ysgol Frongoch,Rhyl Road,Denbigh,LL16 3DP,Denbighshire,59,01745 816655,denbigh.manager@kidsplanetdaynurseries.co.uk,https://www.kidsplanetdaynurseries.co.uk/,Kids Planet Meithrinfa Dyddiol LTD,1
Dragonflies,Childrens Day Care,Sessional Day Care,,Dinas Powys Primary School,Fairoaks,Dinas Powys,CF64 4QU,Vale of Glamorgan,28,,,,Vale of Glamorgan Council Child Care and Play Services,2
Dreigiau Bach y Bannau,Childrens Day Care,Full Day Care,,School Of Ysgol Y Bannau,Penlan,Brecon,LD3 9SR,Powys,19,01874622207,office@bannau.powys.sch.uk,,Powys County Council Ysgol y Bannau Governing Body,1
Dros Yr Enfys Flying Start Playgroup,Childrens Day Care,Sessional Day Care,,Shaftesbury Community Centre,Evans Street,Newport,NP20 5LD,Newport,26,07971569393,,,Newport City Council Child Care and Play Service,3
Dyfan Court,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",30 Merthyr Dyfan Road,,Barry,CF62 9TG,Vale of Glamorgan,4,01446748046,manager.dyfancourt@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,10
Early Explorers Flexi Care,Childrens Day Care,Full Day Care,,Holywell Leisure Centre,North Road,Holywell,CH8 7TQ,Flintshire,30,07301969336,info@earlyexplorersflexicare.co.uk,,,
Eden Nursery Newbridge,Childrens Day Care,Full Day Care,,Chou Chous Day Nursery,Bridge Street Newbridge,Newport,NP11 5FE,Caerphilly,75,01495 243080,pete@theedencentre.com,www.theedennursery.co.uk,,
Edgeworth,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Flat 1 Edgeworth,9 Ebberston Road East,Colwyn Bay,LL28 4DR,Conwy,2,01492 545370,manager20francis@randomlightuk.com,www.coeddu.com,Coed Du Hall Ltd,6
Efail Fach,Care Home Service,Childrens Home,,,,Port Talbot,,,4,01792449500,daniel.williams@athenacaregroup.co.uk,www.athenacaregroup.co.uk,Athena Care Group Ltd,7
Elm,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,8,01824572021,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,5
Elm Lodge,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Elm Lodge,The Parade,Carmarthen,SA31 1LZ,Carmarthenshire,7,02920494445,info@integraclo.org,https://nationalcaregroup.com/view/elm-lodge/,Integra Community Living Options Limited,8
Eryl Fryn,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Eryl Fryn,Bodafon Road,Llandudno,LL30 3BA,Conwy,30,01492549920,manager.erylfryn@fairways.org.uk,www.fairways.org.uk,Fairways Care Ltd,2
Eryri,Care Home Service,Childrens Home,Personal care for children,,,Colwyn Bay,,Conwy,2,07714171724,managers.BYDresidential@conwy.gov.uk,,Conwy County Borough Council Adults and Children's Services,5
Ewloe Green After School Club,Childrens Day Care,Out of School Care,,Ewloe Green C.P. School,Old Mold Road,Ewloe,CH5 3GU,Flintshire,70,01244532569,,www.ewloegreen.co.uk,,
Fairfield Out of School Club,Childrens Day Care,Out of School Care,,Fairfield Primary School,Dryden Road,Penarth,CF64 2RT,Vale of Glamorgan,32,07519791142,fairfieldoutofschoolclub@hotmail.co.uk,,,
Fairview House,Care Home Service,Adults Without Nursing,Personal care for adults,99 Brithweunydd Road,,Tonypandy,CF40 2UF,Rhondda Cynon Taf,5,01443 421813,info.Fairviewhouse@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,6
Fairways Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Fairways Nursing Home,Lon St. Ffraid Trearddur Bay,Holyhead,LL65 2UD,Isle of Anglesey,38,01407860930,manager.fairways@fairways.org.uk,www.fairways.org.uk,Fairways Care Ltd,4
Falconwood Drive,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,3,07792203384,s.teague@cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,3
Fast Track Childcare Solutions Friends of Wildmill Playgroup,Childrens Day Care,Sessional Day Care,,Wildmill Community Centre,,Bridgend,CF31 1SP,Bridgend,30,07785110442,fastrackchildcaresolutions@live.co.uk,,,
Fenton Flying Start,Childrens Day Care,Sessional Day Care,,Fenton CP School,Portfield,Haverfordwest,SA61 1BZ,Pembrokeshire,20,01437765378,Head.Fenton@pembrokeshire.gov.uk,,Pembrokeshire County Council Child Care and Play Services,3
Ferndale House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Ferndale House Resource Centre,Station Road,Ferndale,CF43 4ND,Rhondda Cynon Taf,26,01443 730614,Martine.Rees@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,7
Ffordd Newydd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",38 New Road,Skewen,Neath,SA10 6EP,Neath Port Talbot,6,01792324241,manager.fforddnewydd@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,11
Ffordd y Gyfraith Farm,Care Home Service,Childrens Home,Personal care for children,,,Bridgend,,Bridgend,4,01656743786,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,1
Ffrindiau Bach Tegryn,Childrens Day Care,Full Day Care,,Canolfan Tegryn,,Aberporth,SA43 2EN,Ceredigion,19,01239811173,ffrindiaubachtegryn@meithrin.cymru,,Meithrinfeydd Cymru Cyfyngedig,3
Ffrindiau Bach Trimsaran,Childrens Day Care,Sessional Day Care,,Flying Start Eary Years Centre/ Canolfan Blant Bynyddoedd Cynnar Dechrau'n Deg,Ysgol Gymunedol Trimsaran,Kidwelly,SA17 4BE,Carmarthenshire,19,01554 742639,,,Carmarthenshire County Council Child Care and Play Services,9
Ffrindiau Bach Yr Eos,Childrens Day Care,Full Day Care,,Ysgol Llwyn Yr Eos,,Aberystwyth,SY23 1SH,Ceredigion,28,01970625316,post@ffrindiaubachyreos.co.uk,,Meithrinfeydd Cymru Cyfyngedig,3
Ffrindiau'r Harbwr,Childrens Day Care,Sessional Day Care,,Ysgol Parc Y Tywyn,Heol Y Bardd,Llanelli,SA16 0NN,Carmarthenshire,20,,,,Carmarthenshire County Council Child Care and Play Services,4
First Friends,Childrens Day Care,Sessional Day Care,,Flying Start Centre,Attlee Way,Tredegar,NP22 3TE,Blaenau Gwent,20,,,,Blaenau Gwent County Borough Council Child Care and Play Services,2
First Steps Caterpiller Corner,Childrens Day Care,Full Day Care,,Trealaw Primary School,Miskin Road,Tonypandy,CF40 2QW,Rhondda Cynon Taf,19,01443433940,caterpillars@camaucyntaf.co.uk,www.camaucyntaf.co.uk,Camau Cyntaf I Ddysgu C.B.C,5
First Steps Nursery,Childrens Day Care,Full Day Care,,Y Garth,Alexandra Road,Llandrindod Wells,LD1 5LS,Powys,32,01597 825473,theresa-24@hotmail.co.uk,www.first-steps-nursery-creche.co.uk,,
Flannel Mill,Care Home Service,Childrens Home,Personal care for children,,,Welshpool,,Powys,2,01686640117,enquiries@newreflexions.co.uk,www.newreflexions.co.uk,Reflexion Care Group Ltd,2
Flat Holm Unit 1,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,1,07792203384,s.teague@cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,5
Flat Holm Unit 2,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,1,07792203384,s.teague@cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,6
Flying start - Mini Explorers,Childrens Day Care,Sessional Day Care,,St. Marys School,Park Street Ruabon,Wrexham,LL14 6LE,Wrexham,20,07872586428,miniexplorers6@gmail.com,,,
Flying Start Blackmill,Childrens Day Care,Sessional Day Care,,Glynllan Playground,Dimbath Avenue,Bridgend,CF35 6ED,Bridgend,15,01656 815799,lucy.davies@bridgend.gov.uk,,Bridgend County Borough Council Child Care and Play Services,7
Flying Start Brackla,Childrens Day Care,Sessional Day Care,,Brackla Primary School,Brackla Way,Bridgend,CF31 2EZ,Bridgend,16,01656815785,,,Bridgend County Borough Council Child Care and Play Services,5
Flying start Bryn Awel,Childrens Day Care,Sessional Day Care,,Bryn Awel Primary School,Flying Start,Rhymney,NP22 5JJ,Caerphilly,22,01685840230,Brynawelflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,9
Flying Start Bryn Celyn Dechrau'n Pen Y Groes,Childrens Day Care,Sessional Day Care,,Bryn Celyn Primary School,Bryn Celyn,Cardiff,CF23 7EH,Cardiff,32,07741976264,bryncelynflyingstart@outlook.com,,Darling Buds FS Limited,6
Flying Start Dysgwyr Bach Childcare Centre,Childrens Day Care,Full Day Care,,Capel Crescent,,Newport,NP20 2FT,Newport,56,01633631712,,,Newport City Council Child Care and Play Service,4
Flying Start Family Centre,Childrens Day Care,Sessional Day Care,,Flying Start Family Centre,Gladstone Road,Barry,CF63 1NH,Vale of Glamorgan,52,,,www.valeofglamorgan.gov.uk,Vale of Glamorgan Council Child Care and Play Services,4
Flying Start Fochriw,Childrens Day Care,Sessional Day Care,,Flying Start Family Centre,Pontllottyn Road,Bargoed,CF81 9LL,Caerphilly,12,01685 841372,Fochriwflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,6
Flying Start Garth,Childrens Day Care,Sessional Day Care,,Garth Primary School,Mission Road,Maesteg,CF34 0ND,Bridgend,12,01656 815438,Rowena.lee@bridgend.gov.uk,,Bridgend County Borough Council Child Care and Play Services,3
Flying Start Graig Y Rhacca,Childrens Day Care,Sessional Day Care,,Flying Start Centre,Addison Way,Caerphilly,CF83 8WW,Caerphilly,20,02920869694,GYRflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,4
Flying Start Hengoed,Childrens Day Care,Sessional Day Care,,Flying Start Demountable,Hengoed Primary School,Hengoed,CF82 7JU,Caerphilly,26,01443814363,,,Caerphilly Flying Start,10
Flying Start Little Buttercups Playgroup,Childrens Day Care,Sessional Day Care,,The Woodlands Building,Forest Children`s Centre,Duffryn,NP10 8WP,Newport,25,07976051788,catherine.woodham@newport.gov.uk,,Newport City Council Child Care and Play Service,8
Flying Start Nantymoel,Childrens Day Care,Sessional Day Care,,Nanty Moel Community Association,8 Ogwy Street Nantymoel,Bridgend,CF32 7SE,Bridgend,16,07773125481,lucy.davies@bridgend.gov.uk,,Bridgend County Borough Council Child Care and Play Services,2
Flying Start Ogmore Vale,Childrens Day Care,Sessional Day Care,,Ogmore Vale Primary School,Aber Road Ogmore Vale,Bridgend,CF32 7AJ,Bridgend,18,01656 815051,,,Bridgend County Borough Council Child Care and Play Services,1
Flying Start Pantside,Childrens Day Care,Sessional Day Care,,Flying Start Rooms,Pantside Primary School,Newbridge,NP11 5DE,Caerphilly,16,01495243286,Pantsideflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,7
Flying Start Penllwyn,Childrens Day Care,Sessional Day Care,,Penllwyn Community Centre,Pontllanfraith,Blackwood,NP12 2EQ,Caerphilly,12,01495225235,Penllwynflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,2
Flying Start Penyrheol,Childrens Day Care,Sessional Day Care,,Penyrheol Flying Start,Caledfryn Way,Caerphilly,CF83 2BW,Caerphilly,12,07720948017,Penyrheolflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,3
Flying Start Phillipstown,Childrens Day Care,Sessional Day Care,,Flying Start Demountable,Phillipstown Primary School,Phillipstown,NP24 6XE,Caerphilly,16,01443830029,Phillipstownfstart@caerphilly.gov.uk,,Caerphilly Flying Start,5
Flying Start Plasnewydd,Childrens Day Care,Sessional Day Care,,Plasnewydd Primary School,Castle Street,Maesteg,CF34 9UN,Bridgend,16,01656815777,,,Bridgend County Borough Council Child Care and Play Services,4
Flying Start Playgroup (Afon y Felin),Childrens Day Care,Sessional Day Care,,Afon Y Felin Primary School,Heol-y-Parc,Bridgend,CF33 4PA,Bridgend,20,01656815033,,www.actionforchildren.org.uk,Action for Children,6
Flying Start Playgroup (Caerau),Childrens Day Care,Sessional Day Care,,Caerau Primary School,Library Road,Maesteg,CF34 0PA,Bridgend,20,01656 815038,,,Action for Children,5
Flying Start Sarn,Childrens Day Care,Sessional Day Care,,Flying Start Sarn,Heol Canola Sarn,Bridgend,CF32 9UQ,Bridgend,30,01656 815788,rowena.lee@bridgend.gov.uk,,Bridgend County Borough Council Child Care and Play Services,6
Flying Start Seren Fach Playgroup,Childrens Day Care,Sessional Day Care,,Maesglas Community Centre,Bideford Road,Newport,NP20 3XT,Newport,24,01633 851636,lynda.goodwin@newport.gov.uk,,Newport City Council Child Care and Play Service,11
Flying Start St James,Childrens Day Care,Sessional Day Care,,St James Primary Icc,St James Primary School,Caerphilly,CF83 3GT,Caerphilly,40,07510 383195,Stjamesflyingstart@caerphilly.gov.uk,,Caerphilly Flying Start,8
Flying Start St John Lloyd,Childrens Day Care,Sessional Day Care,,St. John Lloyd Junior & Infant School,Cemaes Crescent Rumney,Cardiff,CF3 1TA,Cardiff,16,02920777690,stjohnlloydflyingstart@outlook.com,,Darling Buds FS Limited,5
Forest Lodge,Care Home Service,Childrens Home,Personal care for children,,,Newport,,Newport,5,01633891465,forest.lodge@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,10
Forestry House,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Neath,,Neath Port Talbot,6,01639720009,simon.parr@prioritychildcare.co.uk,www.prioritychildcare.co.uk,Priority Childcare Limited,7
Forge Fach Day Nursery,Childrens Day Care,Full Day Care,,Forge Fach Resource Centre,Hebron Road,Swansea,SA6 5EJ,Swansea,61,01792849071,forgefachdaynursery@outlook.com,www.forgefach.org.uk/daynursery.htm,,
Forge House,Care Home Service,Childrens Home,Personal care for children,,,Porth,,Rhondda Cynon Taf,4,07701284359,lauren.mccartney@tycaredig.co.uk,,TY CAREDIG LTD,6
Foxy Club (Rumney Memorial Hall),Childrens Day Care,Out of School Care,,Rumney Memorial Hall,96 Wentloog Road,Cardiff,CF3 3EA,Cardiff,32,07738126936,emma.foxy@hotmail.co.uk,www.foxyclub.co.uk,,
Fun Days at Esme's Out of School Club,Childrens Day Care,Out of School Care,,Llangors Church in Wales School,Llangorse,Brecon,LD3 7TR,Powys,32,01874 658660,ekoppenjan@aol.com,,,
Funky Footsteps,Childrens Day Care,Full Day Care,,Funky Footsteps Day Nursery,Wise Up Community Educational Centre,Port Talbot,SA12 6UG,Neath Port Talbot,98,01639898902,funkyfootsteps@live.co.uk,,,
Garfield,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Garth Road.,Off Pabo  Lane,Llandudno Junction,LL31 9JF,Conwy,8,01492547549,info@potens-uk.com,www.potens-uk.com,Potensial Ltd,4
Garreglwyd,Care Home Service,Childrens Home,"Learning disability, Personal care for children",,,Llanelli,,Carmarthenshire,5,07977734539,TLBreeze@carmarthenshire.gov.uk,www.carmarthenshire.gov.wales,Carmarthenshire County Council Adults and Children's Services,2
Garreglwyd Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Garreglwyd Residential Home,Garreglwyd Road,Holyhead,LL65 1NS,Isle of Anglesey,28,01407762443,garreglwyd@ynysmon.llyw.cymru,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,6
Garth,Care Home Service,Adults Without Nursing,,78 Vale Street,,Denbigh,LL16 3BW,Denbighshire,2,01824814372,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,10
Garthowen,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Garthowen,,Llandysul,SA44 4UD,Ceredigion,8,01545590469,Sara.ratcliffe@achievetogether.co.uk,www.achievetogether.co.uk,Achieve together Ltd,15
Gelli Ceirios ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Gelli Ceirios,Fforchaman Road Cwmaman,Aberdare,CF44 6NH,Rhondda Cynon Taf,5,01685 870176,manager.gelliceirios@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,12
Gellifor After School Club (Ladybirds),Childrens Day Care,Out of School Care,,Gellifor CP School,,Ruthin,LL15 1SB,Denbighshire,24,01824 790387,,,,
Gelynnen,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",8 Golwg Yr Ogof,,Pencader,SA39 9HS,Carmarthenshire,4,01792 885126,enquiries@manddcare.co.uk,https://mdcareltd.co.uk,M&D Care Operations Ltd,13
George St Under Fives and After School Club,Childrens Day Care,Full Day Care,,George Street Primary & Nursery School,George Street,Pontypool,NP4 6BX,Torfaen,19,07889 346348,pontymoileoffice@gmail.com,,,
Ger Y Nant,Care Home Service,Adults Without Nursing,Personal care for adults,Ger-y-nant,Cardiff Road,Treharris,CF46 5NB,Merthyr Tydfil,4,01443 411253,info.Gerynant@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,14
Giggles Playgroup,Childrens Day Care,Full Day Care,,Beddau Square,Gwaunmeisgyn Road,Pontypridd,CF38 2AU,Rhondda Cynon Taf,18,07766734961,gigglesplaygroup2@hotmail.com,,,
Giggles@Gwaunmeisgyn,Childrens Day Care,Full Day Care,,Gwaunmeisgyn Primary School,Woodland Road Beddau,Pontypridd,CF38 2SE,Rhondda Cynon Taf,20,07766734961,gigglesplaygroup2@hotmail.com,,,
Gillybeans Playgroup,Childrens Day Care,Full Day Care,,Gillybeans Playgroup,The Old School,Llantwit Major,CF61 1RZ,Vale of Glamorgan,19,07850251483,holton_anthony@yahoo.co.uk,,,
Glan y Felin ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",3 Commercial Road,Rhydyfro Pontardawe,Swansea,SA8 4SL,Neath Port Talbot,7,01792865541,manager.glanyfelin@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,34
Glanffrwd Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Glanffrwd Care Home,Coychurch Road Pencoed,Bridgend,CF35 5LP,Bridgend,45,01656860586,Glanffrwd.Manager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,5
Glangarnant,Care Home Service,Adults Without Nursing,Personal care for adults,Glan Garnant,Neuadd Road,Ammanford,SA18 1UF,Neath Port Talbot,9,01269 825740,glangarnant@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,22
Glanrhyd,Care Home Service,Childrens Home,Personal care for children,,,Ebbw Vale,,Blaenau Gwent,4,07368452353,admin@serencare.co.uk,www.serencare.co.uk,Seren Care Limited,7
Glasfryn Terrace,Care Home Service,Adults Without Nursing,,2 Glasfryn Terrace Henllan Street,,Denbigh,LL16 3PL,Denbighshire,3,01824813804,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,3
Glencourt,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",54 Hillside Park,,Bargoed,CF81 8NL,Caerphilly,5,01443 821091,Jo.hook@achievetogether.co.uk,www.achievetogether.co.uk,Achieve together Ltd,10
Glenholme Day Nursery,Childrens Day Care,Full Day Care,,21 Richmond Terrace,,Carmarthen,SA31 1HE,Carmarthenshire,30,01267232830,siankavanagh1@hotmail.com,glenholmenursery.co.uk,,
Glyn Mawr,Care Home Service,Childrens Home,Personal care for children,,,Swansea,,Powys,2,01639730354,stacey.cole@powys.gov.uk,,Powys County Council Adults and Children's Services,3
Glyn Rhosyn,Care Home Service,Adults With Nursing,,Glyn Rhosyn Care Home,Pen-y-maes Road,Holywell,CH8 7UH,Flintshire,16,01352719359,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,17
Glyngaer Carebears,Childrens Day Care,Sessional Day Care,,Glyngaer Primary School,Oxford Street,Hengoed,CF82 8FF,Caerphilly,32,07393195111,jonestracey67@hotmail.co.uk,,,
Gofal Plant Dechrau`n Deg / Flying Start Childcare Llangefni,Childrens Day Care,Sessional Day Care,,Ysgol y Graig,Lon Talwrn,Llangefni,LL77 7LP,Isle of Anglesey,24,01248 750633,gofalplantdd@ynysmon.llyw.cymru,,Isle of Anglesey County Council Child Care and Play Services,2
Gofal Plant Dechrau`n Deg Llanfawr/Flying Start Childcare,Childrens Day Care,Sessional Day Care,,Ysgol Llanfawr,Ffordd Tudur,Holyhead,LL65 2DS,Isle of Anglesey,20,01407765707,gofalplantdd@ynysmon.llyw.cymru,,Isle of Anglesey County Council Child Care and Play Services,1
Gofal Plant yr Enfys Gwynllyw,Childrens Day Care,Full Day Care,,Ysgol Gyfun Gwynllw,Folly Road Trevethin,Pontypool,NP4 8JD,Torfaen,45,01633647940,siobhan.carroll@torfaen.gov.uk,,Torfaen County Borough Council Child Care and Play Services,1
Golwg y Bannau,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Brecon,,Powys,4,01874623424,golwgybannau@powys.gov.uk,,Powys County Council Adults and Children's Services,5
Golygfa'r Gest,Care Home Service,Childrens Home,Personal care for children,,,Porthmadog,,Gwynedd,2,01766 771000,ShelleyLouiseWilliams@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,1
Gors Little Learners,Childrens Day Care,Sessional Day Care,,Gors Community School,Gors Avenue,Swansea,SA1 6SF,Swansea,40,01792420421,,,City and County of Swansea Child Care and Play Services,12
Graig Llwyd,Care Home Service,Adults Without Nursing,Personal care for adults,Graig Llwyd,,Pontypridd,CF37 5BX,Rhondda Cynon Taf,6,01443 405705,info.Graigllwyd@swantoncare.com,www.swantoncare.com,SWANTON CARE & COMMUNITY LIMITED,9
Graig Y Bedw,Care Home Service,Adults Without Nursing,Personal care for children,Graig Y Fedw,,Swansea,SA4 8NS,Swansea,3,01792886947,Rachel.pridmore@prioritychildcare.co.uk,www.prioritychildcare.co.uk,Priority Childcare Limited,4
Granville Court,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",M & D Care Ltd,Granville House,Swansea,SA6 8AY,Swansea,10,01792 885126,enquiries@manddcare.co.uk,https://mdcareltd.co.uk,M&D Care Operations Ltd,4
Green Court Mill,Care Home Service,Childrens Home,Personal care for children,,,Abergavenny,,Monmouthshire,4,01873856958,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,5
Green Gables,Care Home Service,Adults Without Nursing,Personal care for adults,Green Gables,Pen-y-fai Road,Bridgend,CF32 9AA,Bridgend,5,01656 720809,info.Greengables@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,2
Greenfields Nursery,Childrens Day Care,Full Day Care,,198 Tregwilym Road,Rogerstone,Newport,NP10 9EL,Newport,53,01633646517,office@greenfields-nursery.com,www.greenfields-nursery.com,,
Greenhill,Care Home Service,Adults Without Nursing,Personal care for adults,Greenhill Care Home,Beaufort Street,Crickhowell,NP8 1AG,Powys,22,01873 810072,greenhill.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,11
Greenhill Road,Care Home Service,Childrens Home,Personal care for children,,,Cwmbran,,Torfaen,3,01633868038,joshua.glynn@midwayts.com,,Midway Transitional Solutions Ltd,4
Greenmeadows,Care Home Service,Childrens Home,Personal care for children,,,Maesteg,,Bridgend,3,01656732948,greenmeadows@landskercare.co.uk,www.landskerchildcare.co.uk,Landsker Child Care Ltd,5
Greenway Flying Start,Childrens Day Care,Sessional Day Care,,Greenway Flying Start,Greenway Primary School,Rumney,CF3 3JG,Cardiff,30,02920369962,greenwayflyingstart@outlook.com,www.darlingbudsnursery.co.uk,Darling Buds FS Limited,3
Grove View,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",263a Birchgrove Road,Birchgrove,Swansea,SA7 9NA,Swansea,9,01792 815056,manager.groveview@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,13
Guilsfield Preschool,Childrens Day Care,Full Day Care,,Guilsfield Cp School,Guilsfield,Welshpool,SY21 9ND,Powys,19,01938 553979,head@guilsfield.powys.sch.uk,,Powys County Council Child Care and Play Services,4
Gwern Alyn Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,48 Percy Road,,Wrexham,LL13 7EF,Wrexham,29,01978363606,ResponsibleIndividual@pendinepark.com,www.pendinepark.com,Pendine Park Care Organisation Ltd,1
Gwern y Fran,Care Home Service,Childrens Home,Personal care for children,,,Corwen,,Conwy,2,01490460328,gwernyfran@newreflexions.co.uk,www.newreflexions.co.uk,Reflexion Care Group Ltd,1
