Email Address,SITE,LOCALAUTH,SITECOUNT
cylchabergwaun@hotmail.co.uk,Cylch Meithrin Abergwaun,Pembrokeshire,1
cylchbodalaw@outlook.com,Cylch Bod Alaw,Conwy,1
cylchbodhyfryd@gmail.com,Cylch Bodhyfryd,Wrexham,1
cylchbontnewydd@btinternet.com,Cylch Meithrin Bontnewydd,Gwynedd,1
cylchbrocernyw@hotmail.com,Cylch Meithrin Bro Cernyw,Conwy,1
cylchbrynglas@gmail.com,Cylch Meithrin Brynglas,Newport,1
cylchcarno@outlook.com,Cylch Meithrin Carno,Powys,1
cylchcefngorslas@icloud.com,Cylch Meithrin Cefneithin Gorslas,Carmarthenshire,1
cylchcroesgoch25@outlook.com,Cylch Meithrin Croesgoch,Pembrokeshire,1
cylchdeiniolen@outlook.com,Cylch Meithrin Deiniolen,Gwynedd,1
cylchdolbadarn@gmail.com,Cylch Meithrin Dolbadarn,Gwynedd,1
cylchdolgellau@gmail.com,Cylch Meithrin Dolgellau,Gwynedd,1
cylchevanjames@outlook.com,Cylch Meithrin Evan James,Rhondda Cynon Taf,1
cylchffestiniog@outlook.com,Cylch Meithrin Ffestiniog,Gwynedd,1
cylchgarnedd@ffalabalam.co.uk,Cylch Meithrin y Garnedd a Clwb Ffrindiau Y Garnedd,Gwynedd,1
cylchglanmorfa@gmail.com,Cylch Meithrin Ysgol Glan Morfa,Cardiff,1
cylchglantwymyn@icloud.com,Cylch Meithrin Glantwymyn,Powys,1
cylchgwalchmai@outlook.com,Cylch Meithrin Gwalchmai,Isle of Anglesey,1
cylchhyweldda@icloud.com,Cylch Meithrin Hywel Dda,Carmarthenshire,1
cylchllanbedrog@aol.com,Cylch Meithrin Llanbedrog,Gwynedd,1
cylchllanbrynmair@gmail.com,Cylch Meithrin Llanbrynmair,Powys,1
cylchllanrhaeadr@gmail.com,Cylch Meithrin Llanrhaeadr,Denbighshire,1
cylchllanypwll@outlook.com,Cylch Meithrin a Ti a Fi Llan-y-pwll,Wrexham,1
cylchmaesinclanicola.jones@yahoo.com,Cylch Meithrin Maesincla and CYLCH MEITHRIN PLAS PAWB,Gwynedd,2
cylchmeithrin-cwmbran@outlook.com,Cylch Meithrin Cwmbran,Torfaen,1
cylchmeithrin.aberbargoed@gmail.com,Cylch Meithrin Aberbargoed,Caerphilly,1
cylchmeithrin.broalun@outlook.com,Cylch Meithrin Bro Alun,Wrexham,1
cylchmeithrin.felinheli@outlook.com,Cylch Meithrin Y Felinheli,Gwynedd,1
cylchmeithrin.groeswen@gmail.com,Cylch Meithrin Groes-wen,Cardiff,1
cylchmeithrin@btconnect.com,Cylch Meithrin Y Bont Faen,Vale of Glamorgan,1
cylchmeithrin@hotmail.com,Cylch Meithrin Llanddarog a Drefach,Carmarthenshire,1
cylchmeithrinabercynon@gmail.com,Cylch Meithrin Abercynon,Rhondda Cynon Taf,1
cylchmeithrinaberdar@outlook.com,Cylch Meithrin Aberdar,Rhondda Cynon Taf,1
cylchmeithrinaberdaron@outlook.com,Cylch Meithrin Aberdaron,Gwynedd,1
cylchmeithrinaberystwyth@gmail.com,Cylch Meithrin Aberystwyth,Ceredigion,1
cylchmeithrinalltcafan@gmail.com,Cylch Meithrin Alltcafan,Carmarthenshire,1
cylchmeithrinamlwch@aol.co.uk,Cylch Meithrin Amlwch,Isle of Anglesey,1
cylchmeithrinawelymynydd@yahoo.com,Cylch Meithrin Awel y Mynydd,Conwy,1
cylchmeithrinbaepenrhyn@outlook.com,Cylch Meithrin Bae Penrhyn,Conwy,1
cylchmeithrinbeddau@outlook.com,Cylch Meithrin Beddau,Rhondda Cynon Taf,1
cylchmeithrinbodffordd@hotmail.com,Cylch Meithrin Bodffordd,Isle of Anglesey,1
cylchmeithrinbont@hotmail.com,Cylch Meithrin Pontrhydfendigaid,Ceredigion,1
cylchmeithrinbrodyfrdwy@outlook.com,Cylch Meithrin Bro Dyfrdwy,Denbighshire,1
cylchmeithrinbrodysynni@gmail.com,Cylch Meithrin Bro Dysynni,Gwynedd,1
cylchmeithrinbronllwyn@yahoo.co.uk,Cylch Meithrin Bronllwyn,Rhondda Cynon Taf,1
cylchmeithrincemaes@gmail.com,Cylch Meithrin Cemaes,Isle of Anglesey,1
cylchmeithrincg@outlook.com,Cylch Meithrin Cwm Gwyddon,Caerphilly,1
cylchmeithrinchwilog@gmail.com,Cylch Meithrin Chwilog,Gwynedd,1
cylchmeithrincilycoed@gmail.com,Cylch Meithrin Cil y Coed,Monmouthshire,1
cylchmeithrinclocaenog@gmail.com,Cylch Meithrin Clocaenog,Denbighshire,1
cylchmeithrincorris@hotmail.co.uk,Cylch Meithrin Corris,Gwynedd,1
cylchmeithrincriccieth@yahoo.co.uk,Cylch Meithrin Criccieth,Gwynedd,1
cylchmeithrincwmdar@gmail.com,Cylch Meithrin Cwmdar,Rhondda Cynon Taf,1
cylchmeithrincybi@gmail.com,Cylch Meithrin Cybi,Isle of Anglesey,1
cylchmeithrinedern@outlook.com,Cylch Meithrin Edern,Gwynedd,1
cylchmeithringroeslon@hotmail.co.uk,Cylch Meithrin Groeslon,Gwynedd,1
cylchmeithringwyddelwern@gmail.com,Cylch a Ti a Fi Gwyddelwern,Denbighshire,1
cylchmeithrinharlech@aol.co.uk,Cylch Meithrin Harlech,Gwynedd,1
cylchmeithrinhendy@icloud.com,Cylch Meithrin Ysgol Yr Hendy,Carmarthenshire,1
cylchmeithrinllanbedr@outlook.com,Cylch Meithrin Llanbedr,Gwynedd,1
cylchmeithrinllandegfan@gmail.com,Cylch Meithrin Llandegfan,Isle of Anglesey,1
cylchmeithrinllandygai@hotmail.co.uk,Cylch Meithrin Tal y Bont & Llandygai,Gwynedd,1
cylchmeithrinllanerch@gmail.com,Cylch Meithrin Llanerch,Carmarthenshire,1
cylchmeithrinllanfarian@outlook.com,Cylch Meithrin Llanfarian,Ceredigion,1
cylchmeithrinllangeitho@gmail.com,Cylch Meithrin Llangeitho,Ceredigion,1
cylchmeithrinllangennech@ymail.com,Cylch Meithrin Llangennech,Carmarthenshire,1
cylchmeithrinllangollen@outlook.com,Cylch Meithrin Llangollen and Cylch Meithrin Llangollen @ Ysgol Gwernant,Denbighshire,2
cylchmeithrinllangybi@gmail.com,Cylch Meithrin Llangybi,Gwynedd,1
cylchmeithrinllanilltudfawr@gmail.com,Cylch Meithrin Llanilltud Fawr,Vale of Glamorgan,1
cylchmeithrinllanllwni@yahoo.co.uk,Cylch Meithrin Llanllwni,Carmarthenshire,1
cylchmeithrinllannerchymedd@gmail.com,Cylch Meithrin Llanerchymedd,Isle of Anglesey,1
cylchmeithrinllannon4@gmail.com,Cylch Meithrin Llannon,Carmarthenshire,1
cylchmeithrinllanrug@yahoo.com,Cylch Meithrin Llanrug,Gwynedd,1
cylchmeithrinllansannan@yahoo.co.uk,Cylch Meithrin Llansannan,Conwy,1
cylchmeithrinllanuwchllyn@hotmail.com,Criw Eirys,Gwynedd,1
cylchmeithrinllechryd@gmail.com,Cylch Meithrin Llechryd,Ceredigion,1
cylchmeithrinmaesymorfa@hotmail.com,Cylch Meithrin Maes y Morfa,Cardiff,1
cylchmeithrinminyddol@outlook.com,Cylch Meithrin Min y Ddol,Wrexham,1
cylchmeithrinmoelfre@gmail.com,Cylch Meithrin Moelfre,Isle of Anglesey,1
cylchmeithrinmorfarhianedd@outlook.com,Cylch Meithrin Morfa Rhianedd,Conwy,1
cylchmeithrinmornant@outlook.com,Cylch Meithrin Ysgol Mornant,Flintshire,1
cylchmeithrinmynyddbychan@gmail.com,Cylch Meithrin Mynydd Bychan,Cardiff,1
cylchmeithrinnawmor@gmail.com,Cylch Meithrin Nawmor (Cenarth),Ceredigion,1
cylchmeithrinnefyn@gmail.com,Cylch Meithrin Nefyn,Gwynedd,1
cylchmeithrinparcybont@gmail.com,Cylch Meithrin Parc Y Bont,Isle of Anglesey,1
cylchmeithrinpencader151@gmail.com,Cylch Meithrin Pencader,Carmarthenshire,1
cylchmeithrinpenrhyn@hotmail.co.uk,Cylch Meithrin Penrhyndeudraeth,Gwynedd,1
cylchmeithrinpentraeth@gmail.com,Cylch Meithrin Pentraeth,Isle of Anglesey,1
cylchmeithrinpentrecelyn@gmail.com,Cylch Meithrin Ysgol Pentrecelyn,Denbighshire,1
cylchmeithrinpontyberem18@gmail.com,Cylch Meithrin Pontyberem,Carmarthenshire,1
cylchmeithrinporthtywyn@hotmail.co.uk,Cylch Meithrin Porth Tywyn,Carmarthenshire,1
cylchmeithrinpyg@gmail.com,Cylch Meithrin Pen-y-Garth,Vale of Glamorgan,1
cylchmeithrinrhiwbeina@gmail.com,Cylch Meithrin Rhiwbeina,Cardiff,1
cylchmeithrinrhosneigr@gmail.com,Cylch Meithrin Rhosneigr,Isle of Anglesey,1
cylchmeithrinrhuthun@gmail.com,Cylch Meithrin Rhuthun,Denbighshire,1
cylchmeithrinrhyd@gmail.com,Cylch Meithrin Rhydypennau,Ceredigion,1
cylchmeithrinsarn@gmail.com,Cylch Meithrin Plant Bach Sarn,Bridgend,1
cylchmeithrinsaronarhendre@gmail.com,Cylch Meithrin Saron and Hendre,Carmarthenshire,1
cylchmeithrinserenfach@outlook.com,Cylch Meithrin Seren Fach,Rhondda Cynon Taf,1
cylchmeithrintal-y-bont@hotmail.co.uk,Cylch Meithrin Talybont,Ceredigion,1
cylchmeithrintalwrn@gmail.com,Cylch Meithrin Talwrn,Isle of Anglesey,1
cylchmeithrintonnaubach@outlook.com,Cylch Meithrin Tonnau Bach,Pembrokeshire,1
cylchmeithrintrannon@gmail.com,Cylch Meithrin Trannon,Powys,1
cylchmeithrintraws@gmail.com,Cylch Meithrin Trawsfynydd,Gwynedd,1
cylchmeithrintregarth@yahoo.co.uk,Cylch Meithrin Tregarth,Gwynedd,1
cylchmeithrintrelai@hotmail.com,Cylch Meithrin Trelai,Cardiff,1
cylchmeithrintremeirchion@gmail.com,Cylch Meithrin Tremeirchion,Denbighshire,1
cylchmeithrintreuddyn@gmail.com,Cylch Meithrin Terrig,Flintshire,1
cylchmeithrintwtil@gmail.com,Cylch Meithrin Twtil,Gwynedd,1
cylchmeithrinwaunfawr@gmail.com,Cylch Meithrin a Grwp Ti a Fi Waunfawr,Gwynedd,1
cylchmeithrinybermo@gmail.com,Cylch meithrin Y Tonnau,Gwynedd,1
cylchmeithrinyborth@gmail.com,Cylch Meithrin Y Borth,Isle of Anglesey,1
cylchmeithrinyfali@gmail.com,Ffrindiau Y Fali,Isle of Anglesey,1
cylchmeithrinyfenni@hotmail.co.uk,Cylch Meithrin Y Fenni,Monmouthshire,1
cylchmeithrinygarth@gmail.com,Cylch Meithrin Y Garth,Rhondda Cynon Taf,1
cylchmeithrinygraig@gmail.com,Cylch Meithrin  y Graig,Denbighshire,1
cylchmeithrinygromlech@hotmail.co.uk,Cylch Meithrin y Gromlech,Gwynedd,1
cylchmeithrinygyrnos@outlook.com,Cylch Meithrin Y Gurnos,Merthyr Tydfil,1
cylchmeithrinyrenfys@gmail.com,Cylch Meithrin Yr Enfys,Caerphilly,1
cylchmgb@gmail.com,Cylch Meithrin Grangetown a'r Bae,Cardiff,1
cylchmpenybontfawr@gmail.com,Cylch Meithrin Penybont Fawr,Powys,1
cylchparcywerin@hotmail.com,Cylch Meithrin Parc y Werin,Swansea,1
cylchpenygroes@hotmail.com,Cylch Meithrin Penygroes sir Gar,Carmarthenshire,1
cylchplascoch@gmail.com,Cylch Meithrin Plas Coch,Wrexham,1
cylchpontygof@gmail.com,Cylch Meithrin Pont y Gof,Gwynedd,1
cylchprion@outlook.com,Cylch Meithrin Prion,Denbighshire,1
cylchrhaeadr@outlook.com,Cylch Meithrin Rhaeadr,Powys,1
cylchrhos1@gmail.com,Cylch Meithrin Rhostryfan,Gwynedd,1
cylchrhydyllan@mail.com,Cylch Meithrin Rhyd y Llan,Isle of Anglesey,1
cylchtalgarreg@outlook.com,Cylch Meithrin Talgarreg,Ceredigion,1
cylchtalysarn@yahoo.co.uk,Cylch Meithrin Talysarn,Gwynedd,1
cylchtreffynnon@outlook.com,Cylch Chwarae Treffynnon,Flintshire,1
cylchtymair@outlook.com,Cylch Meithrin Ty Mair Glannau Dyfrdwy and Cylch Ty Mair,Flintshire,2
cylchtywyn@outlook.com,Cylch Meithrin TY Mabon Tywyn,Gwynedd,1
cylchwaunceirch@gmail.com,Meithrinfa Dydd Ser Bach Cylch Waunceirch,Neath Port Talbot,1
cylchybedol@aol.com,Cylch Meithrin Ysgol Y Bedol,Carmarthenshire,1
cylchycoed@gmail.com,Cylch Y Coed,Cardiff,1
cylcygelli@yahoo.co.uk,Cylch Meithrin y Gelli,Gwynedd,1
cynfranpreschool@hotmail.com,Cynfran Pre-School,Conwy,1
cysgodycoed1@yahoo.co.uk,Cysgod Y Coed Ltd,Ceredigion,1
dallen@plcl.org.uk,Grianan,Blaenau Gwent,1
dan-y-garreg@hafansaff.co.uk,Dan Y Garreg,Merthyr Tydfil,1
danicocarenewportltd@gmail.com,Ty Clyd,Cardiff,1
daniel.goddard@salus.wales,Liberty House,Swansea,1
daniel.grainger@salutemcare.com,Daffodil House,Cardiff,1
daniel@we-are-unique.care,Mayfield,Denbighshire,1
danielcrandon@positifcare.co.uk,Norcote,Blaenau Gwent,1
danielle@alphalivingwales.com,Ty Bryn,Neath Port Talbot,1
danygraig@dreamscarehomes.co.uk,Danygraig Nursing Home,Newport,1
david.farnsworth@wales.nhs.uk,Cottage View,Powys,1
david.kwei@rushcliffehospitals.co.uk,Queens Care Home,Neath Port Talbot,1
david.norman@educate-group.co.uk,Rivulet House,Wrexham,1
david.norman@educatecare.co.uk,Ty Caer,Wrexham,1
debbie@ysguborwen.cymru,Ysguborwen Care Home ,Rhondda Cynon Taf,1
debbiehanney@tyccare.co.uk,Tyn Y Coed Residential Home,Pembrokeshire,1
dechraudisglair@hotmail.co.uk,Dechrau Disglair,Carmarthenshire,1
degreys5@hwbcymru.net,Saplings Out of School Care,Vale of Glamorgan,1
derwbach22@gmail.com,Derw Bach,Powys,1
derya_warrington@hotmail.co.uk,Hendy Day Care,Carmarthenshire,1
dewi.rees2@caerdydd.gov.uk,Cylch Meithrin Pwll Coch,Cardiff,1
dewi_sant@sky.com,Dewi Sant,Caerphilly,1
dhunt4@sky.com,Forest House Residential Care Home for Adults with Learning Difficulties,Caerphilly,1
diana@moorlandhome.co.uk,Moorland Home,Swansea,1
diane.davies@willowdalecarehome.co.uk,Willowdale Care Home,Flintshire,1
diane.roberts16@btinternet.com,Station House Residential Care,Flintshire,1
diane@do-re-mi.cymru,Meithrinfa Do Re Mi Nursery,Pembrokeshire,1
director@pathways-2-the-future.co.uk,Daisy Chain and Hopscotch House,Merthyr Tydfil,2
directors@maesyfelin.co.uk,Maes-y-felin Care Home Ltd,Ceredigion,1
djames@plcl.org.uk,Bryn Heulog,Merthyr Tydfil,1
dolanog@btopenworld.com,Dolanog,Denbighshire,1
dolawel@aracare.co.uk,Dol Awel Residential Home,Conwy,1
dolwargw@yahoo.co.uk,Dolwar Residential Home,Gwynedd,1
dolwerdd-cylchmeithrin@outlook.com,Cylch Meithrin Dolwerdd,Torfaen,1
dom.morse@bluestonewales.com,Acorns Day Nursery Mini Adventures,Pembrokeshire,1
donna@danesbrook.com,Ty Hafod,Cardiff,1
donnawoodcock.penygellihall@hotmail.com,Penygelli Hall,Wrexham,1
doodleschildcare@aol.com,Doodles Childcare,Pembrokeshire,1
dosc2003@gmail.com,Deganwy Out of School Club,Conwy,1
driveresidential@hotmail.com,The Drive Residential Care home,Monmouthshire,1
drymmaucarehome@gmail.com,Drymmau Hall Care Home,Neath Port Talbot,1
dunvantprimaryschool@dunvant-pri.swansea.sch.uk,Dunvant Primary Wraparound,Swansea,1
dwylobach11@gmail.com,Dwylo Bach Preschool,Merthyr Tydfil,1
dwyloda@live.co.uk,Dwylo Da,Gwynedd,1
dwylorenfys@aol.com,Gofal Plant Dwylo’r Enfys,Gwynedd,1
dyan.boswell@genesiscte.co.uk,Oaklands,Pembrokeshire,1
dyffrynbanw@icloud.com,Cylch Meithrin Dyffryn Banw,Powys,1
dylansdeninfo@gmail.com,Dylan's Den,Rhondda Cynon Taf,1
dyserthcare@outlook.com,Dyserth Care ,Denbighshire,1
earlyinterventionservice@southwales.ac.uk,University of South Wales Early Intervention Service,Rhondda Cynon Taf,1
eastparkcarecentre@outlook.com,East Park Care Centre Limited,Pembrokeshire,1
edwardstracey22@yahoo.co.uk,St Asaph Community Playgroup,Denbighshire,1
eechirkw5@hwbcymru.net,Chirk Pre School Playgroup,Wrexham,1
egle.kavaliunaite2@elysiumhealthcare.co.uk,Reene House,Newport,1
eirijoppa@gmail.com,Cylch Meithrin Tregaron,Ceredigion,1
elaine.white@wales.nhs.uk,Nevill Hall Creche Association,Monmouthshire,1
elliso20@hwbcymru.net,Cylch Meithrin Penmaenmawr,Conwy,1
embracecarehomesltd@gmail.com,Abbey Dale House,Conwy,1
emily.weeks@brighterfuturescymru.com,Tŷ Afon,Gwynedd,1
emma.morris@croesocare.co.uk,Cartref Croeso Ltd,Carmarthenshire,1
emma.roberts@keys-group.co.uk,Baruc House,Vale of Glamorgan,1
emma.williams@keys-group.co.uk,Lychgate,Wrexham,1
emma@guidedstars.co.uk,Mountain View,Bridgend,1
emmamatthews2006@yahoo.com,Little Stars Nursery LLP,Torfaen,1
enfysfachpwllheli@gmail.com,Meithrinfa Enfys Fach Pwllheli,Gwynedd,1
enfyshapusnursery2017@outlook.com,Enfys Hapus Day Nursery,Cardiff,1
enquiries.channelview@outlook.com,Channel View Residential Care Home,Vale of Glamorgan,1
enquiries@3littlechums.co.uk,Three Little Chums Ltd,Torfaen,1
enquiries@abergavennynursery.co.uk,Abergavenny Nursery and Abergavenny Nursery Too,Monmouthshire,2
enquiries@asdrainbows.co.uk,ASD Rainbows,Rhondda Cynon Taf,1
enquiries@bearpak.co.uk,Bear Pak Wrap Around Centre,Vale of Glamorgan,1
enquiries@birribi.org,Brynsiriol,Carmarthenshire,1
enquiries@brighterfuturescymru.com,Gelli-Avon and McClaren House,Rhondda Cynon Taf,2
enquiries@britanniadaynursery.co.uk,Britannia Day Nursery Ltd,Caerphilly,1
enquiries@buttercupsdaynurseryltd.co.uk,Buttercups Day Nursery,Cardiff,1
enquiries@caldeygrangecare.co.uk,Caldey Grange Care Home,Pembrokeshire,1
enquiries@careuk.com,Llys Cyncoed and Llys Herbert,Cardiff,2
enquiries@croesodaynursery.co.uk,Croeso Day Nursery,Neath Port Talbot,1
enquiries@cyfeillionbach.co.uk,Cyfeillion Bach,Torfaen,1
enquiries@dragonfliesplaycare.com,Dragonflies Out of School Playcare Limited,Cardiff,1
enquiries@fairparkcare.com,59 Beechley Road,Wrexham,1
enquiries@fieldscarehome.com,The Fields Care Home,Newport,1
enquiries@glenburnielodge.co.uk,Glenburnie Lodge,Vale of Glamorgan,1
enquiries@gogerddanchildcare.co.uk,Clwb Gogerddan and 2 other services you run,Ceredigion,3
enquiries@hollybankcarehome.co.uk,Hollybank Care Home,Flintshire,1
enquiries@jupitercare.com,Hillside Care Home,Swansea,1
enquiries@littlechums.co.uk,Little Chums Day Nursery,Torfaen,1
enquiries@llantrisantcarehome.co.uk,Llantrisant Care Home,Rhondda Cynon Taf,1
enquiries@lot3.co.uk,Acton Childcare,Wrexham,1
enquiries@marshfieldmonkeys.co.uk,Marshfield Monkeys Day Nursery Wrap Around & Holiday Club Ltd,Newport,1
enquiries@parcyllyn.org.uk,Parc y Llyn Nursing Home,Pembrokeshire,1
enquiries@penybryncare.co.uk,Pen y Bryn Residential Home,Flintshire,1
enquiries@principalitycare.com,102 Cefn Road and 106 Thompson Avenue,Newport,2
enquiries@procarewales.co.uk,Daniel House and Plas Lorna,Conwy,2
enquiries@qewc.co.uk,Bryn Tirion Hall and Ty Felin Children's Home,Flintshire,2
enquiries@regencyhousecarehome.com,Regency House Residential Home,Torfaen,1
enquiries@sricares.co.uk,Rickeston Mill Care Home,Pembrokeshire,1
enquiries@thechildrensdaynursery.co.uk,The Children`s Day Nursery (Preschool) and The Childrens Day Nursery,Bridgend,2
enquiries@tregwilymlodge.co.uk,Tregwilym Lodge Nursing and Residential Home,Newport,1
enquiries@trehernecaregroup.com,Tremora Cottage,Gwynedd,1
enquiries@warrendale-cottage.co.uk,Warrendale Cottage Ltd,Flintshire,1
enquiries@ymestyn.org.uk,Ymestyn,Cardiff,1
eryl.pellow@btinternet.com,Brynderwen Catre,Carmarthenshire,1
estuarygardens.mgr@crystalcarecollection.co.uk,Estuary Gardens,Flintshire,1
etsportscymru@hotmail.com,Clwb Carco Ysgol Y wern,Cardiff,1
events@nipperbout.com,Nipperbout Limited,Conwy,1
ewennyview@crystalcaresolutions.co.uk,Ewenny View,Flintshire,1
explorers@thelearningtreedaynursery.co.uk,The Learning Tree Explorers,Newport,1
fastrackchildcaresolutions@live.co.uk,Cefn Glas Playgroup and Fast Track Childcare Solutions Ltd - Bettws Day Nursery,Bridgend,2
fay@carrholm.co.uk,Carr Holm,Denbighshire,1
felicity.mctigue@hartfordcare.co.uk,Broughton Hall,Wrexham,1
fernsdaynursery@gmail.com,Ferns Day Nursery,Caerphilly,1
ferryhouse@innovative-care.co.uk,Ferry House,Neath Port Talbot,1
ffion@llysteg.co.uk,Llys Meddyg and 2 other services you run,Denbighshire,3
finance@ggca.org.uk,Gilfach Goch Kids R Us Playscheme,Rhondda Cynon Taf,1
fiona@parachuteschildcare.co.uk,Little Haven Nursery and Little Haven Nursery  -  Pentrych,Cardiff,2
firststeps8@yahoo.co.uk,First Steps Day Nursery (Rhos on Sea) Limited,Conwy,1
firststepsltd@yahoo.co.uk,First Steps Day Nursery Ltd,Flintshire,1
fordenplaygroup@outlook.com,Forden Pre-School,Powys,1
forestandcoastalschool@gmail.com,Muddy Puddles Forest and Coastal School,Conwy,1
forgecare@summerhillgroup.co.uk,The Forge Care Centre,Cardiff,1
foulkes305@btinternet.com,Tirionfa Residential Care,Gwynedd,1
frances@prioryhousecare.co.uk,Priory House Care Home,Denbighshire,1
francesca.austin@theflowersdaynursery.com,The Flowers Day Nursery,Swansea,1
fundaysnursery20@gmail.com,Fun Days Day Nursery,Denbighshire,1
funkyfootsteps@live.co.uk,Funky Footsteps Day Nursery Hospital Site and Funky Footsteps Saint Joseph's Catholic School Provison,Neath Port Talbot,2
funtazia2@btconnect.com,Funtazia Day Nursery (Cwm Golau),Merthyr Tydfil,1
funtazia@btconnect.com,Funtazia Day Nursery Prince Charles Hospital,Merthyr Tydfil,1
gabriela@serenity-homes.org,Gnoll Nursing Home,Neath Port Talbot,1
gail@dashceredigion.org.uk,DASH Playscheme,Ceredigion,2
gail@tyross.co.uk,Ty Ross Care Home,Rhondda Cynon Taf,1
gardencitychildcare@flintshire.gov.uk,Garden City Childcare,Flintshire,1
garethwilliams@gardenscarehome.co.uk,Gardens Care Home,Neath Port Talbot,1
garnanthouse@hotmail.co.uk,Garnant House LLP,Carmarthenshire,1
garnbachtryweryn@gmail.com,Garn Bach Tryweryn,Gwynedd,1
garndiffaith@milllanechildcare.com,Mill Lane Childcare Garndiffaith,Torfaen,1
gary.dodd@hartfordcare.co.uk,Ashgrove and Ashleigh Court,Wrexham,2
gellifor@denbighshire.gov.uk,Cylch Chwarae Gellifor,Denbighshire,1
gibchildcentre@btconnect.com,Cylch Meithrin Dechrau Dysgu and Gibbonsdown Children`s Centre Limited,Vale of Glamorgan,2
gillian.tawfik@brynymor.co.uk,Bryn y Mor Ltd,Isle of Anglesey,1
gillianbruford@bryncynonstrategy.org.uk,Bryncynon Growing Together Playgroup,Rhondda Cynon Taf,1
gilliansuckley.elmvilla@hotmail.co.uk,Elm Villa,Wrexham,1
gingerbread.house@aol.com,The Gingerbread House Day Nursery (RCT) Ltd,Rhondda Cynon Taf,1
glanmorfacarehome@btconnect.com,Glanmorfa Care Home Ltd,Carmarthenshire,1
glanymor20@yahoo.com,Cylch Meithrin Glan-y-Mor,Ceredigion,1
glasfrynnh01@yahoo.co.uk,Glasfryn Nursing & Residnential Home,Carmarthenshire,1
glenmore@hotmail.co.uk,Glenmore Residential Home,Newport,1
glynbargoedhouse@btconnect.com,Glynbargoed Care Home,Merthyr Tydfil,1
glynderwen@astoncarehomes.co.uk,Glynderwen House,Swansea,1
glynnest@btinternet.com,Glyn Nest Trustee Company Limited,Carmarthenshire,1
gm.cardiffuk@nazarethcare.com,Nazareth House - Cardiff,Cardiff,1
gofal.pandy@gmail.com,Gofal Plant Pandy,Isle of Anglesey,1
gofalmaelog@gmail.com,Gofal Maelog,Isle of Anglesey,1
gofalplantgeirian@gmail.com,Gofal Plant Geirian Llanfechell a'r Fro,Isle of Anglesey,1
gofalplanttregeles@gmail.com,Gofal Plant Tregeles,Neath Port Talbot,1
gofalteg@outlook.com,Gofal Teg,Torfaen,1
goldstarsafterschoolclub@outlook.com,Gold Stars After School Club,Cardiff,1
golliwpg@hotmail.co.uk,Golliwopsie Playgroup,Torfaen,1
gower@pebbles-daynursery.com,Pebbles Day Nursery,Swansea,1
gowerdaynursery@gmail.com,Gower Day Nursery,Swansea,1
gowerhouse@innovative-care.co.uk,Gower House,Swansea,1
gracehouse@yourchapter.co.uk,Grace House,Powys,1
grangelodgeltd@outlook.com,Grangelodge Residential Home Ltd,Cardiff,1
greenfieldplaygroup@gmail.com,Greenfield playgroup,Flintshire,1
greenhill.enquiries@hallmarkcarehomes.co.uk,Hallmark Greenhill Manor Luxury Care Home,Merthyr Tydfil,1
gwenfro@caiapark.org,Gwenfro Tots,Wrexham,1
gwynfa.ljc@btconnect.com,Gwynfa,Gwynedd,1
hafal@hafal.org,Fronheulog Care Home,Powys,1
hafanycoed.gm@barchester.com,Hafan y Coed Care Home,Carmarthenshire,1
hafod.flyingstart@caiapark.org,Hafod y Wern Playgroup,Wrexham,1
hafod.manager@surecaregroup.com,Hafod House Rest Home,Wrexham,1
hafodmanager@select-group.co.uk,Hafod Y Green,Denbighshire,1
halkynmountainkidsclub@gmail.com,Halkyn Mountain Kids Club,Flintshire,1
happybeesdaynursery@gmail.com,Happy Bees Day Nursery,Merthyr Tydfil,1
happydayschildcareltd@hotmail.com,Happy Days Childcare Rhyl Ltd,Denbighshire,1
happydayscoedpoeth@hotmail.co.uk,Happy Days,Wrexham,1
happydayznurseryltd@yahoo.co.uk,Happy Dayz Nursery Limited,Rhondda Cynon Taf,1
happyhedgehogs5@hwbcymru.net,Happy Hedgehogs Childcare,Flintshire,1
harley.foley@futurestarscoaching.co.uk,Future Stars Coaching at Coryton Primary School,Cardiff,1
hashimniaz@icloud.com,Dolywern,Wrexham,1
hawkesburyplaygroupbuckley@gmail.com,Hawkesbury Pre-school Playgroup,Flintshire,1
haydn.osborne@reactsupportservices.co.uk,Cadoc House Service and 4 other services you run,Cardiff,5
hazel@livingincomfortcarehome.co.uk,Frederick House,Merthyr Tydfil,1
hcbreakfastclub@marshfieldmonkeys.co.uk,Monkeys@High Cross Breakfast & After School Club Ltd,Newport,1
hdundas@cavc.ac.uk,Cardiff and Vale College Nursery (Barry),Vale of Glamorgan,1
head.coastlands@pembrokeshire.gov.uk,Coastlands CP School Club,Pembrokeshire,1
head.golden-grove@pembrokeshire.gov.uk,Golden Grove Day Care,Pembrokeshire,1
head.lamphey@pembrokeshire.gov.uk,Lamphey Playgroup,Pembrokeshire,1
head.sageston@pembrokeshire.gov.uk,Sageston Community Primary School Playgroup,Pembrokeshire,1
head.stteilos@pembrokeshire.gov.uk,Teilo Tots,Pembrokeshire,1
head@brynhafren.powys.sch.uk,Brynhafren Bright Stars,Powys,1
heath@sweet-p.co.uk,Sweet Pea (Heath),Cardiff,1
heather.carr@ivolve.care,Heathfield Lodge Ltd,Swansea,1
