Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
Bryn Marl Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Bryn Marl Nursing Home,Marl Drive,Llandudno Junction,LL31 9YX,Conwy,39,01492581191,kevin.jones@brynmarl.co.uk,vshans.co.uk,Bryn Marl Ltd,1
Bryn Meddyg Care Home Ltd,Care Home Service,Adults Without Nursing,Personal care for adults,Bryn Meddyg,,Caernarfon,LL54 5AG,Gwynedd,34,01758750693,brynmeddygcarehomeltd@gmail.com,,BRYN MEDDYG CARE HOME LTD,1
Bryn Tirion Hall,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Flintshire,14,01978760034,enquiries@qewc.co.uk,www.qewc.co.uk,Quality Education with Care Limited,1
Bryn y Mor,Care Home Service,Childrens Home,Personal care for children,,,Haverfordwest,,Pembrokeshire,4,01437891967,John.Catlow@genesiscte.co.uk,stdavidsasc.wales,St Davids ASC (Marlowe) Ltd,3
Bryn y Mor Ltd,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Bryn Y Mor Residential Home,Llaneilian,Amlwch,LL68 9NH,Isle of Anglesey,27,01407830763,gillian.tawfik@brynymor.co.uk,www.brynymor.co.uk,Bryn y Mor Ltd,1
Bryn y Wawr,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",6 New Road,,Llandeilo,SA19 6DB,Carmarthenshire,10,01558822763,BarnabyCunningham@cygnethealth.co.uk,,Cygnet Care Services Limited,1
Bryn Yr Haul ,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Bryn Yr Haul,Rhydygaled,Mold,CH7 6QG,Flintshire,36,01352755531,brynyrhaul@rosewoodhealthcaregroup.co.uk,www.rosewoodhealthcaregroup.co.uk,Willowtree Healthcare limited,2
Brynawel House Alcohol and Drug Rehabilitation Centre Ltd,Care Home Service,Adults With Nursing,"Personal care for adults, Learning disability, Mental health",Brynawel,Llanharry Road,Pontyclun,CF72 9RN,Rhondda Cynon Taf,24,01443226864,Contact@brynawelhouse.org,http://www.brynawel.org,Brynawel House Alcohol and Drug Rehabilitation Centre Ltd,1
Bryncoed,Care Home Service,Childrens Home,Personal care for children,,,Caerphilly,,Caerphilly,4,02922219232,scotth@team-rainbow.co.uk,https://rainbowtherapeutic.com/,Rainbow Therapeutic Limited,4
Bryncynon Growing Together Playgroup,Childrens Day Care,Sessional Day Care,,"Growing Together Centre, Old Clinic",41 Avondale Street,Mountain Ash,CF45 4YY,Rhondda Cynon Taf,26,01443741035,gillianbruford@bryncynonstrategy.org.uk,www.bryncynonstrategy.org.uk,Bryncynon Community Revival Strategy Ltd,1
Brynderwen Catre,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Brynderwen Farm,Pontamman Road,Ammanford,SA18 2JD,Carmarthenshire,9,01269 269215,eryl.pellow@btinternet.com,N/A,Catre Ltd,1
Brynfield Manor ,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",42 Brynfield Road,,Swansea,SA3 4SX,Swansea,73,01792 366208,langlandcare@gmail.com,www.langlandcareltd.co.uk,Langland care LTD,1
Bryngwy,Care Home Service,Adults Without Nursing,Personal care for adults,Bryngwy,,Rhayader,LD6 5BN,Powys,24,01597811125,jolene@bryngwy.co.uk,,Boswell Healthcare Ltd,1
Brynhafren Bright Stars,Childrens Day Care,Full Day Care,,Brynhafren Cp School,Bryn Hafren Crew Green,Shrewsbury,SY5 9BJ,Powys,16,01743884455,head@brynhafren.powys.sch.uk,,Brynhafren Bright Stars,1
Brynhelyg Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",64 Cwmfelin Road,,Llanelli,SA14 9LR,Carmarthenshire,26,01554756393,brynhelyg.manager@gmail.com,,Ovalbeech Limited,1
BrynHeulog,Care Home Service,Childrens Home,Personal care for children,,,Newtown,,Powys,1,07891991928,Richard.rees@dyfodol.uk,,Dyfodol Limited,1
Brynheulog Bungalow,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Brynheulog,Wesley Close,Cwmbran,NP44 3ND,Torfaen,3,01633483822,sarah.bladen@enable-care.co.uk,www.expanding-horizons.co.uk,Enable Care Services (South Wales) Ltd,2
Brynhyfryd House Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Brynhyfryd House Nursing Home,36 West Cross Lane,Swansea,SA3 5LS,Swansea,42,01792404827,plasnewyddcareltd@gmail.com,http://www.plasnewydd-care-home.co.uk,Plas Newydd Care Ltd,4
Brynmawr Care Village,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability",2 Intermediate Road,Brynmawr,Ebbw Vale,NP23 4SF,Blaenau Gwent,120,01495314912,heretohelp@carongroup.wales,www.carongroup.wales,Brynmawr Care Village Ltd,1
Brynsadler Short Term Care,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",1-5 Cowbridge Road,Brynsadler,Pontyclun,CF72 9BS,Rhondda Cynon Taf,5,01443 808384,karengregory@drive-wales.org.uk,drive-wales.org.uk,Drive,2
Brynsiriol,Care Home Service,Childrens Home,"Personal care for children, Learning disability, Mental health",,,Carmarthen,,Carmarthenshire,5,01838818587,enquiries@birribi.org,,Birribi Limited,1
Brynsiriol Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,259/261 Neath Road,Briton Ferry,Neath,SA11 2SL,Neath Port Talbot,20,01639813277,info@brynsiriol.com,,Bravemore Limited,1
Brynteg,Care Home Service,Childrens Home,"Personal care for children, Learning disability, Mental health",,,Haverfordwest,,Pembrokeshire,5,01348841203,admin@birribi.org,https://birribi.org,Birribi Limited,4
Brynteg Tigers Out of Hours School Club,Childrens Day Care,Full Day Care,,Brynteg Primary School,Maesteg Brynteg,Wrexham,LL11 6NB,Wrexham,19,01978 756398,mailbox@brynteg-pri.wrexham.sch.uk,,Brynteg Tigers Out of Hours Club,1
Buds to Blossoms Cwm,Childrens Day Care,Full Day Care,,Flying Start Hub,Canning Street,Ebbw Vale,NP23 7RD,Blaenau Gwent,26,01495355012,budstoblossoms@outlook.com,,BUDS TO BLOSSOMS DAY NURSERIES LIMITED,1
Buds to Blossoms Day Nursery,Childrens Day Care,Full Day Care,,Buds To Blossoms Day Nursery,Park Place Beaufort,Ebbw Vale,NP23 5JX,Blaenau Gwent,54,01495306122,budstoblossoms@outlook.com,,BUDS TO BLOSSOMS DAY NURSERIES LIMITED,2
Building Blocks Nursery,Childrens Day Care,Full Day Care,,Royal Glamorgan Hospital,Ansari Court,Pontyclun,CF72 8XR,Rhondda Cynon Taf,43,07896537986,buildingblocksnurseryrgh@gmail.com,,Valedown Limited,1
Bumble Bees Playgroup,Childrens Day Care,Full Day Care,,Ysgol Pendref,Foundation Site,Denbigh,LL16 3RU,Denbighshire,19,07915668306,jo21370@live.co.uk,,Bumble Bees Playgroup,1
Burfa House,Care Home Service,Childrens Home,Personal care for children,,,Presteigne,,Powys,3,01544260664,mike.ore@cambiangroup.com,cambiangroup.com,Cambian Childcare Ltd ,1
Burley Place,Care Home Service,Childrens Home,Personal care for children,,,Barry,,Vale of Glamorgan,2,02920239585,chiefexecutive@llamau.org.uk,,Llamau Limited,2
Burrows Hall,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability, Mental health",Burrows Hall Nursing Home,Burrows Lane,Swansea,SA3 1JB,Swansea,33,01792386221,info@burrowshall.co.uk,www.burrowshall.co.uk,Burrows Hall,1
Bush House Pembroke Limited,Care Home Service,Adults Without Nursing,Personal care for adults,Bush House Care Home,Pembroke Road,Pembroke,SA71 4RJ,Pembrokeshire,36,01646621612,robinappa@hotmail.com,https://bushhousecare.co.uk/,BUSH HOUSE PEMBROKE LIMITED,1
Busy Beehive,Childrens Day Care,Full Day Care,,St Aidans Church in Wales Va School,,Haverfordwest,SA62 4PS,Pembrokeshire,16,01437731449,info@busybeehivenursery.co.uk,www.busybeehivenursery.co.uk,Busy Beehive,1
Busy Bees at Bridgend,Childrens Day Care,Full Day Care,,Ffordd Tirion,Broadlands,Bridgend,CF31 5EX,Bridgend,108,01656649644,bridgend.centredirector@busybees.com,www.busybeeschildcare.co.uk,Busy Bees Nurseries Limited,2
Busy Bees at Cardiff Gate,Childrens Day Care,Full Day Care,,Greenwood Close,Cardiff Gate Business Park,Cardiff,CF23 8RD,Cardiff,100,02920541111,cardiffgate.centredirector@busybees.com,www.busybeeschildcare.co.uk/nursery/cardiff-gate,Busy Bees Nurseries Limited,1
Busy Bees Blaenavon @ BICC,Childrens Day Care,Full Day Care,,Blaenavon Community Campus School,Middle Coedcae Road,Pontypool,NP4 9AW,Torfaen,30,01495766511,busybeesblvn@aol.com,,Busy Bees Blaenavon Day Nursery and Kids Club,2
Busy Bees Blaenavon @ Park Street,Childrens Day Care,Full Day Care,,New Life Christian Centre,Park Street,Pontypool,NP4 9AA,Torfaen,65,01495792149,busybeesblvn@gmail.com,,Busy Bees Blaenavon Day Nursery and Kids Club,1
Busy Bees St David`s Park Day Nursery,Childrens Day Care,Full Day Care,,St David`s Park,,Ewloe,CH5 3XN,Flintshire,129,01244537787,stdavids@busybees.com,www.busybeeschildcare.com,Busy Bees Nurseries Limited,3
Busy Bodies Nursery,Childrens Day Care,Full Day Care,,Trelleck School,Trelleck,Monmouth,NP25 4PA,Monmouthshire,24,,,,Busy Bodies playgroup LTD,1
Busy Bods @ Ysgol Bodfari,Childrens Day Care,Full Day Care,,Ysgol Bodfari,,Bodfari,LL16 4DA,Denbighshire,20,01745710329,ysgol.bodfari@denbighshire.gov.uk,www.ysgolbodfari.co.uk,Ysgol Bodfari,1
Busy Feet Gelligaer,Childrens Day Care,Sessional Day Care,,Gelligaer Community Centre,Aneurin Bevan Avenue Gelligaer,Hengoed,CF82 8ES,Caerphilly,16,07375832516,busyfeetgelligaer24@gmail.com,,BUSY FEET (GILFACH) LTD,1
Busy Feet Gilfach Ltd,Childrens Day Care,Full Day Care,,Gilfach Fargoed Primary School,Vere Street,Bargoed,CF81 8LB,Caerphilly,16,07375832516,tedibachnursery@gmail.com,,BUSY FEET (GILFACH) LTD,2
Buttercups Day Nursery,Childrens Day Care,Full Day Care,,Buttercups Day Nursery,Upper Bryn Coch,Mold,CH7 4AE,Flintshire,76,01352 751267,info@buttercupsdaynursery.com,www.buttercupsdaynursery.com,Buttercups Day Nursery (Flintshire) Ltd,1
Buttercups Day Nursery,Childrens Day Care,Full Day Care,,Buttercups Nursery,Unit C1,Cardiff,CF3 2EP,Cardiff,80,02921154285,enquiries@buttercupsdaynurseryltd.co.uk,www.buttercupsdaynurseryltd.co.uk,Buttercups Day Nursery UK Ltd,1
Butterflies Day Nursery (Conwy),Childrens Day Care,Full Day Care,,Deva,Marl Lane,Deganwy,LL31 9AJ,Conwy,15,01492583261,butterfliesofdeganwy@outlook.com,,Butterflies of Deganwy Ltd,1
Buttington Trewern Playgroup,Childrens Day Care,Sessional Day Care,,Buttington Trewern Cp School,Cefn Road,Welshpool,SY21 8TB,Powys,15,07754338079,buttingtontrewernplaygroup@gmail.com,,Buttington Trewern Playgroup,1
Button's and Bow's Day Nursery Ltd,Childrens Day Care,Full Day Care,,St Davids Church Room,Clarke Street,Cardiff,CF5 5AL,Cardiff,48,02920251895,buttonsandbowsdaynursery@gmail.com,https://buttonsandbowsdatnursery.godaddysites.com/,Button's and Bow's Day Nursery Ltd,1
Bwlchgwyn Cabin Crew,Childrens Day Care,Full Day Care,,Bwlchgwyn CP School,Brymbo Road,Bwlchgwyn,LL11 5UA,Wrexham,40,01978756718,bwlchgwyncabincrew@hotmail.co.uk,https://www.bwlchgwyn-school.co.uk/cabin-crew-childcare/,Bwlchgwyn Cabin Crew,1
Bwthyn Talbot,Care Home Service,Adults Without Nursing,Learning disability,Talbot Cottage,Tramway Lane,Llanelli,SA15 4AJ,Carmarthenshire,7,01554700758,Lee.bates@carewithoutcompromise.org.uk,,Care Without Compromise Limited,3
Bythnod & Hendre Llwyd,Care Home Service,Childrens Home,Personal care for children,,,Corwen,,Denbighshire,7,01490440409,info@branas.co.uk,www.branas.co.uk,Branas Isaf (Holdings) Ltd,1
C & C (Pembs) Ltd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",57 St. Issells Avenue,,Haverfordwest,SA61 1JX,Pembrokeshire,2,07796127186,,,C & C (Pembs) Ltd,1
Caban Aur,Care Home Service,Childrens Home,Personal care for children,,,Llanbedrgoch,,Isle of Anglesey,2,01248450087,manager@cabanaur.co.uk,www.afongoch.co.uk,AFON GOCH CHILDREN'S HOMES LTD,2
Caban Cae'r Nant,Childrens Day Care,Full Day Care,,Cable Street Community Centre,Cable Street,Deeside,CH5 4DZ,Flintshire,25,01244836768,,https://www.ysgolcaernant.co.uk/caban-caer-nant/,Caban Cae'r Nant,1
Caban Cegin,Childrens Day Care,Full Day Care,,Ysgol Glancegin,,Bangor,LL57 1ST,Gwynedd,73,01248352130,Cabancegin@hotmail.com,,Caban Cegin,1
Caban Enfys,Childrens Day Care,Full Day Care,,Ysgol Esceifiog,Lon Groes,Gaerwen,LL60 6DD,Isle of Anglesey,30,01248565488,cabanenfys@gmail.com,cabanenfysgmail.com,Caban Enfys,1
Caban Ogwen,Childrens Day Care,Full Day Care,,Ysgol Llanllechid,,Bangor,LL57 3EH,Gwynedd,50,07786855333,cabanogwen@meithrinfaogwen.co.uk,www.meithrinfaogwen.co.uk,Meithrinfa Ogwen Cyf,3
Caban Ogwen Tregarth,Childrens Day Care,Out of School Care,,Tregarth Primary School,Tregarth,Bangor,LL57 4PG,Gwynedd,40,01248 605555,tregarth@meithrinfaogwen.co.uk,,Meithrinfa Ogwen Cyf,1
Caban Y Faenol Cyf,Childrens Day Care,Full Day Care,,Ysgol  Y Faenol,,Bangor,LL57 2NN,Gwynedd,56,01248361272,cabansupervisor@live.co.uk,ysgolyfaenol.cymru,Caban y Faenol Cyf,1
Cadoc House Service,Care Home Service,Adults Without Nursing,Personal care for adults,36 Connaught Road,,Cardiff,CF24 3PU,Cardiff,7,02920758109,haydn.osborne@reactsupportservices.co.uk,www.reactsupportservices.co.uk,React Support Services Ltd,3
Cadoc Service Flats - 62,Care Home Service,Adults Without Nursing,Personal care for adults,62 Cottrell Road,Roath,Cardiff,CF24 3EZ,Cardiff,2,02920758109,haydn.osborne@reactsupportservices.co.uk,www.reactsupportservices.co.uk,React Support Services Ltd,8
Cadoc Service Flats -32,Care Home Service,Adults Without Nursing,Personal care for adults,32 Connaught Road,,Cardiff,CF24 3PU,Cardiff,5,02920 758109,haydn.osborne@reactsupportservices.co.uk,www.reactsupportservices.co.uk,React Support Services Ltd,7
Cadoc Service Flats -57,Care Home Service,Adults Without Nursing,Personal care for adults,57 Connaught Road,,Cardiff,CF24 3PW,Cardiff,4,02920758109,haydn.osborne@reactsupportservices.co.uk,www.reactsupportservices.co.uk,React Support Services Ltd,6
Cadwgan Playgroup,Childrens Day Care,Full Day Care,,The Mobile Ysgol T Gwynn Jones,Llanelian Road,Old Colwyn,LL29 9UA,Conwy,16,,Cadwganplaygroup63@outlook.com,,Cadwgan Playgroup,1
Cae Melyn Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Cae Melin,Bronwylfa Road,Welshpool,SY21 7RD,Powys,10,01938554738,info@caemelyn.com,www.caemelyngrouphome.co.uk,Platinum Care Limited ,1
Caeffair Ltd Affalon house nursing home ,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Caeffair Nursing Home,2 Felinfoel Road,Llanelli,SA15 3JG,Carmarthenshire,46,01554756332,admin@affalon-house.co.uk,affalon-house.com,Caeffair Ltd ,1
Caeglas Residential Home Ltd,Care Home Service,Adults Without Nursing,Personal care for adults,Caeglas Residential Home,Heol Cennen Ffairfach,Llandeilo,SA19 6UL,Carmarthenshire,24,01558824123,caeglas.home@gmail.com,caeglas.wales,Caeglas Residential Home Ltd,1
Caerleon Child Care,Childrens Day Care,Full Day Care,,Parc Ty Glas,,Cardiff,CF14 5DU,Cardiff,114,02920763679,info@caerleoncardiff.co.uk,www.caerleonchildcare.co.uk,123 Jump Ltd,1
Caerleon House Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability, Mental health",Caerleon House Nursing Home,Goldcroft Common Caerleon,Newport,NP18 1BE,Newport,54,01633423535,bal@caerleonhouse.co.uk,www.caerleonhouse.co.uk,Caerleon House Care Ltd,1
Caernewydd Farm,Care Home Service,Adults Without Nursing,Learning disability,Caernewydd,Pembrey Road,Kidwelly,SA17 4TF,Carmarthenshire,6,01554 401108,Lee.bates@carewithoutcompromise.org.uk,www.carewithoutcompromise.org.uk,Care Without Compromise Limited,6
Caerwent Day Nursery,Childrens Day Care,Full Day Care,,Northgate House,,Caldicot,NP26 5NZ,Monmouthshire,92,01291 425239,matherndaynursery@btconnect.com,caerwentdaynursery.co.uk,Caerwent Day Nursery (Childcare Services) Ltd.,1
Caldey Grange Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Caldey Grange,Templebar Road,Kilgetty,SA68 0RA,Pembrokeshire,18,01834813819,enquiries@caldeygrangecare.co.uk,www.caldeygrangecare.co.uk,Caldey Grange Care Ltd,1
Calon Celtaidd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Calon Celtiadd,Morrison Court,Port Talbot,SA12 6TQ,Neath Port Talbot,4,01639 899403,info@potens-uk.com,www.potens-uk.com,Celtic Care (Swansea) Ltd,2
Camau Tirion Llwynhendy,Childrens Day Care,Full Day Care,,Camau Tirion Llwynhendy,Trallwm Road,Llanelli,SA14 9ET,Carmarthenshire,32,01554778672,camautirion@btinternet.com,camautirion.co.uk,First Foundations Nursery Ltd,2
Cambian Pengwern College - Bryn Dedwydd,Care Home Service,Childrens Home,"Learning disability, Personal care for adults, Personal care for children",,,St Asaph,,Denbighshire,5,01745592300,Vikki.keenan@cambiangroup.com,,Cambian Whinfell School Ltd,3
Cambian Pengwern College - Bryn Egwyl,Care Home Service,Childrens Home,"Learning disability, Personal care for adults, Personal care for children",,,St Asaph,,Denbighshire,5,01745583648,vikki.keenan@cambiangroup.com,,Cambian Whinfell School Ltd,4
Cambian Pengwern College - The Chalet,Care Home Service,Childrens Home,"Learning disability, Personal care for adults, Personal care for children",,,St. Asaph,,Denbighshire,5,01745 592300,Vikki.keenan@cambiangroup.com,www.cambiangroup.com,Cambian Whinfell School Ltd,2
Cambian Pengwern College Main Campus,Care Home Service,Childrens Home,"Personal care for adults, Personal care for children, Learning disability",,,Rhyl,,Denbighshire,20,01745592300,Vikki.Keenan@cambiangroup.com,https://www.cambiangroup.com/specialist-education/our-colleges/cambian-pengwern-college/,Cambian Whinfell School Ltd,1
Camp Coconuts,Childrens Day Care,Full Day Care,,Coconuts,The Warehouse,Penarth,CF64 5RP,Vale of Glamorgan,96,01446724948,Ceri@camp-coconuts.com,www.camp-coconuts.com,Daisy Day Nurseries Ltd,1
Camp Fantastic,Childrens Day Care,Out of School Care,,Rougemont School Trust,Llantarnam Hall,Newport,NP20 6QB,Newport,100,07782217453,admin@campfantastic.co.uk,www.campfantastic.co.uk,Camp Fantastic Ltd,1
Campion Gardens Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Campion Gardens Village,Clyne Common,Swansea,SA3 3JB,Swansea,53,01792235314,manager@campioncare.co.uk,www.campiongardensretirementvillage.co.uk,Campion Gardens Limited,1
Camrose and Roch Playgroup,Childrens Day Care,Full Day Care,,Camrose Community Centre,,Haverfordwest,SA62 6AA,Pembrokeshire,24,01437710872,Camroseandrochplaygroup@gmail.com,camroseandrochplaygroup.co.uk,Camrose and Roch Playgroup,1
Canolfan Deulu y Bala,Childrens Day Care,Full Day Care,,Ysgol Beuno Sant Y Bala,Heol Y Castell,Y Bala,LL23 7UU,Gwynedd,100,,Rheolwr@canolfandeuluybala.onmicrosoft.com,,Canolfan Deulu Y Bala,1
Canolfan Holiday Club,Childrens Day Care,Out of School Care,,Canolfan Beaumaris,,Beaumaris,LL58 8AL,,36,01248811200,holidayclub@canolfanbeaumaris.org.uk,www.canolfanbeaumaris.org.uk,Canolfan Hamdden Beaumaris A'R Cylch,1
Canterbury House,Care Home Service,Adults With Nursing,Nursing care for adults,Canterbury House,77 Dyserth Road,Rhyl,LL18 4DT,Denbighshire,51,01745336511,Canterbury@akaricare.co.uk,www.akaricare.co.uk,Akari Care Cymru Limited,4
Canterbury House Residential Home Limited,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Canterbury House Residential Home,103 Priory Road,Milford Haven,SA73 2EA,Pembrokeshire,13,01646693465,janegojane@aol.com,,Canterbury House Residential Home Limited,1
Cantref Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Cantref Care Home,87 Brecon Road,Abergavenny,NP7 7RD,Monmouthshire,21,01873852451,management@cantrefcarehome.com,cantrefcarehome.com,Cantref Homes Limited,1
Capel Grange Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Capel Grange Community Nursing Home,Capel Crescent,Newport,NP20 2FG,Newport,72,01633 258901,neena@amayacarehomes.co.uk,www.amayacarehomes.co.uk,Amaya Care Homes (Capel) Limited,1
Cardiff and Vale College Nursery (Barry),Childrens Day Care,Full Day Care,,"Colcot Road, Colcot",,Barry,CF62 8YJ,Vale of Glamorgan,61,01446 725028,hdundas@cavc.ac.uk,,Cardiff and Vale College,1
Cardiff Steiner School Early Years and Wraparound Care,Childrens Day Care,Full Day Care,,Cardiff Steiner School,Hawthorn Road West,Cardiff,CF14 2FL,Cardiff,32,02920567986,miranda.knight@cardiffsteiner.org.uk,http://www.cardiffsteiner.org.uk/,Cardiff Steiner Early Years Centre Limited,1
Cardiff University Little Scholars Nursery,Childrens Day Care,Full Day Care,,Cardiff University,43-45,Cardiff,CF10 3BB,Cardiff,64,02920 874 135,LittleScholarsNursery@cardiff.ac.uk,https://www.cardiff.ac.uk/little-scholars-nursery,Cardiff University,1
Carla House,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Wrexham,4,01978757423,carla.house@yourchapter.co.uk,yourchapter.co.uk,Your Chapter,3
Carlton House Residential Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Carlton House Residential Care Home,,Llanon,SY23 5HZ,Ceredigion,16,07815481149,steff_lewis@hotmail.com,CARLTON HOUSE RESIDENTIAL CARE HOME,CARLTON HOUSE RESIDENTIAL CARE HOME,1
Carmarthen Breakthro,Childrens Day Care,Out of School Care,,Carmarthen Breakthro',Station Road Nantgaredig,Carmarthen,SA32 7LQ,Carmarthenshire,10,07772078634,admin@carmarthen-breakthro.co.uk,www.carmarthen-breakthro.co.uk,Carmarthen Breakthro' (Breakthro' Caerfyrddin) project,1
Carmel Preschool Playgroup,Childrens Day Care,Full Day Care,,Ysgol Bro Carmel,Carmel Road Carmel,Holywell,CH8 8NU,Flintshire,40,07715647791,brocarmelplaygroup@hotmail.co.uk,,Carmel Playgroup,1
Carr Holm,Care Home Service,Adults Without Nursing,Personal care for adults,Carr Holm,41 Bastion Road,Prestatyn,LL19 7ND,Denbighshire,20,01745 887120,fay@carrholm.co.uk,https://carrholm.co.uk,Moore & Moore Care Ltd,1
Cartref Ael Y Bryn,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Cartref Ael Y Bryn,Penybanc Road,Ammanford,SA18 3HS,Carmarthenshire,49,01269593773,info@barleybind.co.uk,www.barleybind.co.uk,Barleybind Ltd,2
Cartref Annwyl Fan Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Cartref Annwyl-fan,Colonel Road,Ammanford,SA18 2HW,Carmarthenshire,70,01269592447,info.ca@carongroup.wales,www.carongroup.wales,Cartref Annwyl (Ammanford) Limited,1
Cartref Bryn yr Eglwys,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Pentrefoelas,,Betws-y-coed,LL24 0HY,Conwy,30,01690770384,c.b.y.e@hotmail.co.uk,www.cartrefbrynyreglwys.com,NANT-Y-FOEL CYFYNGEDIG,1
Cartref Care Home Ltd,Care Home Service,Adults Without Nursing,Personal care for adults,Cartref Care Home,Henllan,Llandysul,SA44 5TD,Ceredigion,36,01559371293,cartrefhome@outlook.com,,CARTREF CARE HOME LTD,1
Cartref Celtaidd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",106 Vardre Road,Clydach,Swansea,SA6 5LU,Swansea,3,01792846518,info@potens-uk.com,www.potens-uk.com,Celtic Care (Swansea) Ltd,1
Cartref Croeso Ltd,Care Home Service,Adults Without Nursing,Personal care for adults,Cartref Croeso Ltd,,Pencader,SA39 9HL,Carmarthenshire,15,01559384240,emma.morris@croesocare.co.uk,www.cartrefcroeso.co.uk,Cartref Croeso Ltd,1
Cartref y Borth Residential Home,Care Home Service,Adults Without Nursing,Personal care for adults,Betws Road,,Llanrwst,LL26 0HE,Conwy,21,01492641432,cartrefyborth@akaricare.co.uk,www.akaricare.co.uk,Akari Care Cymru Limited,2
Cartrefle Residential Home,Care Home Service,Adults Without Nursing,Personal care for adults,Cartrefle,Betws Road,Llanrwst,LL26 0HG,Conwy,24,01492640064,Cartrefle@akaricare.co.uk,www.akaricare.co.uk,Akari Care Cymru Limited,1
Caseys Lodge,Care Home Service,Adults Without Nursing,Personal care for adults,Caseys Lodge,Twyn Carmel,Merthyr Tydfil,CF48 1PF,Merthyr Tydfil,8,01685370200,markbevanr@aol.com,,Care 4 U (Neath) Limited,1
Castle Court Residential Home,Care Home Service,Adults Without Nursing,Personal care for adults,Castle Court Residential Home,Welsh Street,Chepstow,NP16 5LN,Monmouthshire,25,01291625597,manager@castlecourt.co.uk,http://www.castlecourt.care,E.V.H Limited,1
Castle Graig Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Castle Graig Nursing Home,93 Salem Road Morriston,Swansea,SA6 8NN,Swansea,37,01792790009,management@castlegraig.com,www.castlegraig.com,Navagrace Ltd,1
Castlecare Specialist Services Limited,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",162 Cardiff Road,,Aberdare,CF44 6UY,Rhondda Cynon Taf,10,01685 874000,castlecareltd@aol.com,www.castlecare.org,CASTLECARE SPECIALIST SERVICES LIMITED ,1
Cefn Fforest Rising Stars Childcare Ltd,Childrens Day Care,Full Day Care,,Cefn Fforest Primary School,Central Avenue,Blackwood,NP12 3JU,Caerphilly,22,07307167156,risingstarschildcare19@gmail.com,,Cefn Fforest Rising Stars Childcare Ltd,3
Cefn Glas Playgroup,Childrens Day Care,Sessional Day Care,,Westward Community Centre,Llangewydd Road,Bridgend,CF31 4JR,Bridgend,28,07785110442,fastrackchildcaresolutions@live.co.uk,,Fast Track Childcare Solutions Ltd,1
Cefn Lodge Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Cefn Lodge Nursing Home,16 Cefn Parc,Neath,SA10 6YR,Neath Port Talbot,35,01792815778,natalie.jenkins@oxfordcarehomes.co.uk,www.cefnlodgenursinghome.com,Cefn Lodge Limited,1
Cefn Manor,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Cefn Manor,,Llanelli,SA15 4RT,Carmarthenshire,12,01269862146,marion@eraliving.co.uk,,Era Living Solutions Limited,1
Cefn Mawr Playgroup,Childrens Day Care,Full Day Care,,The Activity Centre,Plas Kynaston Lane,Wrexham,LL14 3AT,Wrexham,19,07591995141,cefnplaygroup@gmail.com,,Cefn Mawr Playgroup,1
